Spanish	4	76826237	10236
				5)	ier_	1830	10414	9.2220915E-5
				6)	iern	2627	6205	5.494822E-5
				7)	ierr	3520	3708	3.28361E-5
				8)	ierd	4964	1767	1.5647624E-5
			4)	ied	0	0	0.0
				1)	ieda	1254	15573	1.379063E-4
				2)	iedo	6179	1027	9.094572E-6
				3)	iedr	7387	598	5.295574E-6
			5)	ies	0	0	0.0
				1)	iesg	2056	8880	7.8636614E-5
				2)	iest	3735	3259	2.8859991E-5
				3)	iese	4227	2536	2.2457483E-5
				4)	ies_	5316	1482	1.3123813E-5
				5)	iesa	8895	331	2.931162E-6
			6)	iez	0	0	0.0
				1)	iez_	3653	3389	3.0011204E-5
				2)	ieza	5526	1347	1.1928324E-5
			7)	ieg	0	0	0.0
				1)	iega	4603	2104	1.863192E-5
				2)	iego	5745	1227	1.0865668E-5
				3)	iegu	7561	557	4.9324995E-6
			8)	iet	0	0	0.0
				1)	ieta	5671	1264	1.119332E-5
				2)	ietu	6575	847	7.500587E-6
				3)	iete	10108	208	1.8419387E-6
			9)	ieb	0	0	0.0
				1)	iebr	6071	1076	9.52849E-6
			10)	iel	0	0	0.0
				1)	ielo	6536	862	7.633419E-6
				2)	iel_	7746	518	4.5871357E-6
				3)	iele	9911	223	1.9747708E-6
			11)	iev	0	0	0.0
				1)	ieve	6635	824	7.296911E-6
			12)	iej	0	0	0.0
				1)	iejo	7174	660	5.844613E-6
				2)	ieja	7904	484	4.2860497E-6
			13)	iec	0	0	0.0
				1)	iece	8494	385	3.4093578E-6
				2)	ieci	8754	347	3.0728497E-6
		5)	ic	0	0	0.0
			1)	ica	0	0	0.0
				1)	ica_	48	126013	0.0011159049
				2)	icas	255	48720	4.3143873E-4
				3)	icac	271	47302	4.1888165E-4
				4)	icar	639	27000	2.3909782E-4
				5)	icad	713	25282	2.2388411E-4
				6)	icam	1080	17828	1.578754E-4
				7)	ican	1521	12564	1.1126018E-4
				8)	icaz	2619	6225	5.512533E-5
				9)	icat	2956	5110	4.5251476E-5
				10)	icab	3821	3100	2.7451972E-5
				11)	ical	4290	2455	2.174019E-5
			2)	ici	0	0	0.0
				1)	icio	136	73011	6.4654707E-4
				2)	icia	371	37578	3.3277101E-4
				3)	ició	384	36589	3.2401297E-4
				4)	icie	811	22881	2.0262212E-4
				5)	icit	1030	18672	1.6534943E-4
				6)	icip	1318	14800	1.3106102E-4
				7)	icid	3242	4346	3.8485894E-5
				8)	icin	4810	1900	1.6825401E-5
				9)	icis	7955	472	4.179784E-6
				10)	icim	8180	432	3.825565E-6
				11)	icic	8570	374	3.3119475E-6
				12)	icil	9410	271	2.3998336E-6
				13)	icié	9633	249	2.2050133E-6
			3)	ico	0	0	0.0
				1)	ico_	144	70251	6.2210596E-4
				2)	icos	299	43861	3.8840997E-4
				3)	icol	7963	471	4.1709286E-6
				4)	icot	9019	313	2.7717635E-6
			4)	icu	0	0	0.0
				1)	icul	558	29565	2.6181212E-4
				2)	icua	9092	304	2.6920643E-6
			5)	ich	0	0	0.0
				1)	icho	919	20608	1.8249362E-4
				2)	icha	2482	6743	5.9712467E-5
			6)	ice	0	0	0.0
				1)	ice_	2062	8842	7.830011E-5
				2)	icen	3051	4796	4.2470856E-5
				3)	ices	3850	3049	2.7000342E-5
				4)	icep	7603	547	4.8439447E-6
				5)	icem	8330	407	3.6041781E-6
			7)	ict	0	0	0.0
				1)	icto	2099	8624	7.6369615E-5
				2)	icta	2908	5273	4.6694917E-5
				3)	icti	5534	1343	1.1892903E-5
			8)	icc	0	0	0.0
				1)	icci	3034	4846	4.291363E-5
			9)	icí	0	0	0.0
				1)	icía	4876	1847	1.6356062E-5
			10)	icó	0	0	0.0
				1)	icó_	5861	1168	1.0343194E-5
			11)	icl	0	0	0.0
				1)	iclo	6168	1034	9.156561E-6
				2)	icla	6478	889	7.872517E-6
				3)	icle	9805	233	2.0633256E-6
			12)	icr	0	0	0.0
				1)	icro	7854	495	4.38346E-6
			13)	icá	0	0	0.0
				1)	icán	9452	266	2.3555563E-6
		6)	in	0	0	0.0
			1)	int	0	0	0.0
				1)	inte	65	104048	9.2139444E-4
				2)	intr	1982	9281	8.218766E-5
				3)	into	2707	5896	5.221188E-5
				4)	inta	3133	4609	4.081488E-5
				5)	inti	5043	1690	1.4965752E-5
				6)	inté	8391	398	3.5244789E-6
				7)	intu	9102	303	2.6832088E-6
			2)	inf	0	0	0.0
				1)	info	120	78178	6.923033E-4
				2)	infr	2931	5198	4.6030756E-5
				3)	infl	3081	4715	4.1753563E-5
				4)	infe	5051	1684	1.4912619E-5
				5)	infa	5094	1660	1.4700088E-5
				6)	infi	8630	366	3.2411037E-6
				7)	infu	8819	340	3.0108613E-6
			3)	ino	0	0	0.0
				1)	ino_	370	37581	3.327976E-4
				2)	inos	1655	11508	1.019088E-4
				3)	inor	3448	3871	3.4279543E-5
				4)	inoc	6558	854	7.5625753E-6
			4)	inc	0	0	0.0
				1)	inci	383	36696	3.249605E-4
				2)	incl	978	19488	1.7257548E-4
				3)	inco	1627	11699	1.036002E-4
				4)	incu	2070	8778	7.7733355E-5
				5)	ince	2194	8041	7.120687E-5
				6)	incr	2986	5026	4.4507615E-5
				7)	inca	3234	4377	3.8760412E-5
				8)	incó	10107	208	1.8419387E-6
			5)	ins	0	0	0.0
				1)	inst	458	33502	2.9667612E-4
				2)	insi	2844	5451	4.827119E-5
				3)	insu	4013	2837	2.5122981E-5
				4)	insp	4024	2814	2.4919305E-5
				5)	inse	5366	1447	1.2813872E-5
				6)	insc	6684	807	7.146368E-6
				7)	inso	7061	695	6.1545547E-6
				8)	insa	7933	478	4.232917E-6
			6)	ina	0	0	0.0
				1)	inan	553	29841	2.6425623E-4
				2)	inad	923	20493	1.8147525E-4
				3)	inal	930	20394	1.8059855E-4
				4)	inac	1017	18809	1.6656262E-4
				5)	inar	1099	17581	1.556881E-4
				6)	ina_	2055	8890	7.872517E-5
				7)	inas	3198	4460	3.949542E-5
				8)	inat	4764	1940	1.717962E-5
				9)	inam	5120	1647	1.4584966E-5
				10)	inab	6968	724	6.4113638E-6
				11)	inau	8796	342	3.0285723E-6
				12)	inap	9675	246	2.1784467E-6
			7)	inv	0	0	0.0
				1)	inve	809	22926	2.0302061E-4
				2)	invi	3406	3961	3.5076537E-5
				3)	invo	6070	1076	9.52849E-6
				4)	inva	6872	751	6.6504613E-6
			8)	ini	0	0	0.0
				1)	inic	833	22325	1.9769846E-4
				2)	inió	1350	14431	1.2779335E-4
				3)	inis	1568	12143	1.07532025E-4
				4)	inio	3478	3801	3.365966E-5
				5)	init	3866	3025	2.6787811E-5
				6)	inir	4902	1818	1.6099253E-5
				7)	inid	5069	1676	1.4841776E-5
				8)	inie	6595	839	7.429743E-6
				9)	inim	7470	577	5.109609E-6
			9)	ind	0	0	0.0
				1)	indi	1041	18473	1.6358719E-4
				2)	indu	1633	11645	1.03122E-4
				3)	inde	2051	8916	7.895541E-5
				4)	inda	4247	2519	2.230694E-5
				5)	indo	9439	267	2.3644118E-6
				6)	indí	9840	229	2.0279037E-6
			10)	ing	0	0	0.0
				1)	ingu	1901	9833	8.707588E-5
				2)	ingú	2350	7390	6.544196E-5
				3)	ingr	3884	3007	2.6628411E-5
				4)	ing_	5006	1725	1.5275693E-5
				5)	inge	5137	1631	1.4443279E-5
				6)	ingü	5411	1419	1.2565918E-5
				7)	ingi	5900	1153	1.0210362E-5
				8)	ingl	6358	935	8.279869E-6
				9)	ingo	9574	256	2.2670015E-6
			11)	inm	0	0	0.0
				1)	inmi	2177	8148	7.2154406E-5
				2)	inme	2935	5189	4.595106E-5
				3)	inmu	6508	874	7.739684E-6
				4)	inmo	8294	412	3.6484555E-6
			12)	ine	0	0	0.0
				1)	iner	2190	8087	7.1614224E-5
				2)	inen	2774	5691	5.0396506E-5
				3)	ines	3945	2930	2.5946541E-5
				4)	ine_	4627	2078	1.8401677E-5
				5)	inev	6046	1089	9.6436115E-6
				6)	ineq	6803	771	6.827571E-6
				7)	inef	7441	586	5.189308E-6
				8)	inex	7716	525	4.649124E-6
				9)	inem	8025	459	4.064663E-6
				10)	inea	8193	430	3.807854E-6
			13)	inu	0	0	0.0
				1)	inua	2316	7537	6.674371E-5
				2)	inut	4841	1874	1.6595159E-5
				3)	inui	5371	1444	1.2787305E-5
				4)	inun	6131	1049	9.289392E-6
				5)	inuc	6354	937	8.297579E-6
				6)	inuo	7127	675	5.977445E-6
				7)	inuy	8361	402	3.5599007E-6
				8)	inus	9947	220	1.9482045E-6
			14)	inn	0	0	0.0
				1)	inno	3299	4194	3.713986E-5
				2)	inne	5362	1450	1.2840438E-5
				3)	innu	9861	227	2.0101927E-6
			15)	inj	0	0	0.0
				1)	inju	4729	1975	1.7489563E-5
				2)	inje	9211	290	2.5680877E-6
			16)	inú	0	0	0.0
				1)	inúa	5133	1637	1.4496412E-5
				2)	inúe	6498	878	7.7751065E-6
				3)	inút	7428	590	5.22473E-6
			17)	inq	0	0	0.0
				1)	inqu	5368	1445	1.2796161E-5
			18)	iná	0	0	0.0
				1)	inám	5561	1326	1.174236E-5
			19)	inl	0	0	0.0
				1)	inla	6262	984	8.713787E-6
			20)	inó	0	0	0.0
				1)	inó_	7903	484	4.2860497E-6
			21)	inh	0	0	0.0
				1)	inhu	8459	389	3.4447796E-6
				2)	inhe	9175	294	2.6035095E-6
			22)	iní	0	0	0.0
				1)	iníc	9397	272	2.4086892E-6
		7)	ié	0	0	0.0
			1)	ién	0	0	0.0
				1)	ién_	101	84470	7.4802194E-4
				2)	iénd	3957	2913	2.5795998E-5
				3)	iéne	10209	202	1.7888059E-6
			2)	iér	0	0	0.0
				1)	iéra	4760	1944	1.7215043E-5
				2)	iérc	7051	701	6.207688E-6
			3)	iét	0	0	0.0
				1)	iéti	8220	425	3.7635766E-6
			4)	iés	0	0	0.0
				1)	iése	8248	421	3.7281548E-6
		8)	ia	0	0	0.0
			1)	ias	0	0	0.0
				1)	ias_	108	81412	7.209419E-4
				2)	iasm	6735	789	6.9869693E-6
			2)	ial	0	0	0.0
				1)	ial_	189	58626	5.1916105E-4
				2)	iale	707	25398	2.2491135E-4
				3)	ialm	1377	14048	1.244017E-4
				4)	iali	2338	7466	6.6114975E-5
				5)	iald	7322	617	5.4638276E-6
				6)	ialo	9323	279	2.4706774E-6
			3)	iac	0	0	0.0
				1)	iaci	363	38523	3.4113944E-4
				2)	iaca	7823	504	4.4631593E-6
				3)	iaco	8664	358	3.17026E-6
				4)	iact	9474	264	2.3378452E-6
			4)	iad	0	0	0.0
				1)	iado	828	22571	1.9987691E-4
				2)	iada	2197	8022	7.1038616E-5
			5)	iar	0	0	0.0
				1)	iar_	1004	18988	1.6814776E-4
				2)	iari	2264	7711	6.8284564E-5
				3)	iars	4445	2271	2.0110783E-5
				4)	iará	5057	1680	1.4877197E-5
				5)	iare	5912	1149	1.017494E-5
				6)	iarl	6861	755	6.6858834E-6
				7)	iarí	7730	522	4.6225578E-6
				8)	iaro	7883	488	4.321472E-6
				9)	iara	8701	354	3.134838E-6
				10)	iarn	9176	294	2.6035095E-6
			6)	iat	0	0	0.0
				1)	iati	1591	11974	1.06035455E-4
				2)	iata	4030	2807	2.4857318E-5
				3)	iato	5276	1515	1.3416044E-5
			7)	ian	0	0	0.0
				1)	iant	1921	9693	8.5836116E-5
				2)	ianz	2879	5343	4.73148E-5
				3)	iana	2983	5030	4.4543038E-5
				4)	iano	3561	3613	3.199483E-5
				5)	iand	4373	2345	2.0766089E-5
				6)	ian_	5265	1523	1.3486888E-5
				7)	ianu	7058	698	6.181121E-6
			8)	iam	0	0	0.0
				1)	iame	2415	7051	6.2439954E-5
				2)	iamo	5375	1443	1.277845E-5
				3)	iami	9624	251	2.222724E-6
			9)	iab	0	0	0.0
				1)	iabl	3687	3329	2.9479876E-5
				2)	iabi	5862	1168	1.0343194E-5
				3)	iaba	9552	257	2.275857E-6
			10)	iaj	0	0	0.0
				1)	iaje	4921	1803	1.5966421E-5
				2)	iaja	6026	1098	9.723311E-6
			11)	iag	0	0	0.0
				1)	iagn	8159	436	3.860987E-6
		9)	im	0	0	0.0
			1)	imp	0	0	0.0
				1)	impo	154	67210	5.951765E-4
				2)	impl	994	19184	1.6988342E-4
				3)	impu	1909	9784	8.6641965E-5
				4)	impe	3035	4844	4.2895917E-5
				5)	impa	3140	4591	4.0655483E-5
				6)	impr	3184	4483	3.9699094E-5
				7)	impi	3759	3215	2.8470351E-5
			2)	imi	0	0	0.0
				1)	imie	227	52063	4.6104257E-4
				2)	imin	1564	12165	1.07726846E-4
				3)	imis	2018	9052	8.0159756E-5
				4)	imit	2071	8772	7.7680226E-5
				5)	imid	3420	3939	3.4881716E-5
				6)	imil	4080	2714	2.4033758E-5
				7)	imir	5607	1297	1.148555E-5
				8)	imiz	7071	693	6.1368437E-6
			3)	ime	0	0	0.0
				1)	imer	611	27833	2.4647443E-4
				2)	imen	908	20779	1.840079E-4
				3)	ime_	5496	1367	1.2105434E-5
				4)	imem	8753	347	3.0728497E-6
				5)	imes	9250	286	2.5326658E-6
			4)	imo	0	0	0.0
				1)	imos	625	27298	2.4173675E-4
				2)	imo_	819	22730	2.0128494E-4
				3)	imon	5095	1660	1.4700088E-5
				4)	imor	6831	764	6.765583E-6
			5)	ima	0	0	0.0
				1)	ima_	1231	15823	1.4012017E-4
				2)	imas	1845	10291	9.113169E-5
				3)	imal	2817	5518	4.886451E-5
				4)	imad	3626	3476	3.078163E-5
				5)	imag	4064	2737	2.4237434E-5
				6)	imar	4412	2301	2.0376447E-5
				7)	imam	5971	1122	9.935842E-6
				8)	imac	6134	1048	9.280538E-6
				9)	imav	6272	982	8.696076E-6
				10)	iman	7997	465	4.117796E-6
			6)	imá	0	0	0.0
				1)	imát	3426	3920	3.471346E-5
				2)	imág	8803	341	3.0197168E-6
			7)	imu	0	0	0.0
				1)	imul	4818	1893	1.6763413E-5
			8)	imb	0	0	0.0
				1)	imbó	8033	457	4.0469517E-6
				2)	imbo	10055	211	1.8685051E-6
		10)	is	0	0	0.0
			1)	ism	0	0	0.0
				1)	ismo	190	58463	5.177176E-4
				2)	isma	1896	9872	8.742124E-5
				3)	ismi	5184	1594	1.4115627E-5
			2)	ist	0	0	0.0
				1)	iste	194	57861	5.123866E-4
				2)	ista	275	46863	4.149941E-4
				3)	isti	1005	18975	1.6803262E-4
				4)	istr	1106	17482	1.5481141E-4
				5)	isto	1502	12736	1.12783324E-4
				6)	istó	3976	2882	2.5521478E-5
				7)	istí	6238	997	8.828908E-6
			3)	isi	0	0	0.0
				1)	isió	410	35586	3.1513092E-4
				2)	isio	1081	17816	1.5776913E-4
				3)	isie	1160	16688	1.4778016E-4
				4)	isis	2038	8973	7.946017E-5
				5)	isit	2454	6861	6.075741E-5
				6)	isib	4044	2775	2.4573943E-5
				7)	isiv	4560	2145	1.8994993E-5
				8)	isic	7283	628	5.561238E-6
				9)	isié	7696	530	4.6934015E-6
				10)	isil	9355	276	2.444111E-6
				11)	isip	9762	238	2.107603E-6
				12)	isid	9839	229	2.0279037E-6
			4)	isl	0	0	0.0
				1)	isla	796	23258	2.0596063E-4
				2)	islá	6629	827	7.3234773E-6
			5)	isp	0	0	0.0
				1)	ispo	1114	17351	1.5365134E-4
				2)	ispu	2823	5505	4.874939E-5
				3)	ispe	4787	1916	1.696709E-5
				4)	ispa	6331	947	8.386134E-6
				5)	ispr	8422	393	3.4802015E-6
			6)	iso	0	0	0.0
				1)	iso_	1181	16325	1.4456562E-4
				2)	isos	3071	4746	4.202808E-5
				3)	isor	5983	1118	9.900421E-6
				4)	isoc	8933	325	2.8780294E-6
				5)	isol	9457	265	2.3467007E-6
			7)	isf	0	0	0.0
				1)	isfa	1969	9388	8.313519E-5
				2)	isfe	4732	1971	1.745414E-5
				3)	isfr	5246	1542	1.3655142E-5
			8)	isc	0	0	0.0
				1)	iscu	2281	7636	6.762041E-5
				2)	isca	2556	6432	5.695841E-5
				3)	iscr	2647	6120	5.4195505E-5
				4)	isci	6196	1020	9.032584E-6
				5)	isco	9472	264	2.3378452E-6
			9)	isa	0	0	0.0
				1)	isam	3147	4578	4.0540363E-5
				2)	isar	3679	3343	2.9603852E-5
				3)	isad	4102	2680	2.3732671E-5
				4)	isa_	4645	2063	1.8268844E-5
				5)	isas	6866	753	6.6681723E-6
				6)	isan	7331	614	5.4372613E-6
				7)	isaj	9499	262	2.3201344E-6
			10)	isr	0	0	0.0
				1)	isra	4619	2085	1.8463665E-5
			11)	ise	0	0	0.0
				1)	iseñ	5696	1256	1.1122476E-5
				2)	iser	7712	527	4.666835E-6
				3)	isem	8255	420	3.7192992E-6
				4)	ise_	8801	341	3.0197168E-6
			12)	isu	0	0	0.0
				1)	isua	6172	1029	9.112284E-6
			13)	isd	0	0	0.0
				1)	isdi	7341	610	5.4018396E-6
		11)	iv	0	0	0.0
			1)	iva	0	0	0.0
				1)	iva_	201	57266	5.071176E-4
				2)	ivas	581	28772	2.5478972E-4
				3)	ivam	1863	10198	9.030813E-5
				4)	ivad	2569	6386	5.655106E-5
				5)	ival	4827	1884	1.6683714E-5
				6)	ivar	5464	1384	1.2255977E-5
				7)	ivat	6510	873	7.73083E-6
				8)	ivac	6690	804	7.1198015E-6
				9)	ivan	6985	720	6.3759417E-6
			2)	ivo	0	0	0.0
				1)	ivo_	257	48674	4.3103137E-4
				2)	ivos	422	34926	3.0928632E-4
				3)	ivoc	5245	1543	1.3663997E-5
			3)	ivi	0	0	0.0
				1)	ivid	934	20317	1.7991668E-4
				2)	ivil	2138	8404	7.442141E-5
				3)	ivis	4558	2147	1.9012705E-5
				4)	ivir	4803	1906	1.6878535E-5
				5)	ivie	5531	1344	1.1901758E-5
				6)	ivin	6453	897	7.94336E-6
				7)	ivia	7454	581	5.1450306E-6
				8)	ivim	7595	548	4.8528E-6
				9)	ivio	9967	218	1.9304935E-6
			4)	ive	0	0	0.0
				1)	ivel	1477	12967	1.1482894E-4
				2)	iver	1605	11851	1.0494623E-4
				3)	iven	4086	2698	2.3892071E-5
				4)	ive_	5566	1323	1.1715793E-5
			5)	ivu	0	0	0.0
				1)	ivul	9170	295	2.612365E-6
		12)	if	0	0	0.0
			1)	ifi	0	0	0.0
				1)	ific	203	56823	5.0319463E-4
				2)	ifie	3701	3305	2.9267343E-5
				3)	ifiq	5056	1680	1.4877197E-5
			2)	ife	0	0	0.0
				1)	ifer	1209	16010	1.4177615E-4
				2)	ifes	2780	5676	5.0263672E-5
			3)	ifí	0	0	0.0
				1)	ifíc	2301	7573	6.706251E-5
			4)	ifr	0	0	0.0
				1)	ifra	3756	3220	2.8514629E-5
			5)	ifo	0	0	0.0
				1)	ifor	5576	1317	1.166266E-5
			6)	ifé	0	0	0.0
				1)	ifér	5938	1136	1.0059819E-5
			7)	ifu	0	0	0.0
				1)	ifun	6792	774	6.854137E-6
				2)	ifus	6848	759	6.7213055E-6
			8)	ifa	0	0	0.0
				1)	ifas	8215	426	3.7724321E-6
		13)	it	0	0	0.0
			1)	ita	0	0	0.0
				1)	itar	215	54709	4.8447415E-4
				2)	ita_	1408	13673	1.21080906E-4
				3)	itad	1681	11321	1.0025283E-4
				4)	ital	1768	10713	9.48687E-5
				5)	itan	1781	10638	9.420454E-5
				6)	itam	1861	10210	9.0414396E-5
				7)	itac	3104	4665	4.131079E-5
				8)	itat	4426	2286	2.0243615E-5
				9)	itab	5146	1628	1.44167125E-5
				10)	itas	5330	1472	1.3035258E-5
			2)	ito	0	0	0.0
				1)	ito_	340	40566	3.5923117E-4
				2)	itos	1352	14407	1.2758082E-4
				3)	itor	2238	7817	6.922324E-5
				4)	itol	6929	736	6.517629E-6
			3)	itu	0	0	0.0
				1)	itua	604	28046	2.4836065E-4
				2)	ituc	901	20924	1.8529195E-4
				3)	ituy	1876	10052	8.901523E-5
				4)	itud	2157	8317	7.365098E-5
				5)	itui	3473	3806	3.3703935E-5
				6)	itu_	4019	2822	2.499015E-5
				7)	itul	5904	1152	1.02015065E-5
				8)	itut	6610	833	7.3766105E-6
			4)	iti	0	0	0.0
				1)	itiv	910	20767	1.8390165E-4
				2)	itir	1646	11556	1.0233386E-4
				3)	itid	3786	3159	2.7974444E-5
				4)	itic	4916	1806	1.5992988E-5
				5)	itim	5077	1672	1.4806354E-5
				6)	itie	5575	1318	1.16715155E-5
				7)	itio	6254	987	8.740353E-6
				8)	itió	7115	678	6.004012E-6
				9)	itig	7437	587	5.1981638E-6
				10)	itis	8844	337	2.984295E-6
				11)	itin	9765	237	2.0987475E-6
			5)	ite	0	0	0.0
				1)	iter	1788	10616	9.4009716E-5
				2)	ite_	2065	8825	7.814956E-5
				3)	iten	3998	2861	2.5335514E-5
				4)	ites	4162	2623	2.322791E-5
				5)	itec	8736	349	3.0905605E-6
				6)	item	8932	325	2.8780294E-6
			6)	itá	0	0	0.0
				1)	itán	3488	3789	3.3553395E-5
			7)	ité	0	0	0.0
				1)	ité_	5886	1159	1.0263495E-5
				2)	ités	7560	557	4.9324995E-6
			8)	itm	0	0	0.0
				1)	itmo	6187	1022	9.050295E-6
			9)	itr	0	0	0.0
				1)	itra	6247	994	8.802342E-6
				2)	itro	9025	312	2.762908E-6
				3)	itri	10211	201	1.7799504E-6
			10)	itó	0	0	0.0
				1)	itó_	6568	849	7.518298E-6
			11)	itú	0	0	0.0
				1)	itúa	7416	593	5.2512964E-6
			12)	its	0	0	0.0
				1)	its_	10106	208	1.8419387E-6
		14)	ib	0	0	0.0
			1)	ibl	0	0	0.0
				1)	ible	270	47303	4.1889053E-4
			2)	ibe	0	0	0.0
				1)	iber	914	20705	1.833526E-4
				2)	ibe_	5251	1537	1.3610865E-5
				3)	iben	5455	1389	1.2300255E-5
				4)	ibet	8427	392	3.471346E-6
			3)	ibi	0	0	0.0
				1)	ibil	1002	19050	1.6869679E-4
				2)	ibir	2889	5323	4.713769E-5
				3)	ibid	3356	4056	3.5917805E-5
				4)	ibic	3869	3020	2.6743533E-5
				5)	ibió	6441	902	7.987638E-6
				6)	ibie	6546	858	7.5979974E-6
				7)	ibim	7717	525	4.649124E-6
			4)	ibr	0	0	0.0
				1)	ibre	2261	7714	6.831113E-5
				2)	ibri	3241	4347	3.849475E-5
				3)	ibra	3337	4113	3.6422567E-5
				4)	ibro	7222	645	5.7117813E-6
			5)	ibu	0	0	0.0
				1)	ibui	2405	7099	6.2865016E-5
				2)	ibuc	2597	6286	5.5665514E-5
				3)	ibuy	3057	4789	4.240887E-5
				4)	ibun	4566	2136	1.8915294E-5
				5)	ibut	7281	629	5.5700934E-6
			6)	iba	0	0	0.0
				1)	iba_	5343	1462	1.29467035E-5
				2)	iban	5398	1424	1.2610196E-5
				3)	ibad	9824	231	2.0456146E-6
			7)	ibo	0	0	0.0
				1)	ibo_	7892	486	4.3037608E-6
		15)	il	0	0	0.0
			1)	ili	0	0	0.0
				1)	ilid	308	42973	3.8054632E-4
				2)	iliz	983	19390	1.7170765E-4
				3)	ilit	1482	12937	1.1456328E-4
				4)	ilia	1919	9718	8.60575E-5
				5)	ilib	2323	7511	6.651347E-5
