Italian	3	26618811
			8)	Esc	1.6727603E-4	7
		15)	ex	0.008200486	4963
		16)	ef	2.891568E-4	175
			1)	efa	0.9814815	53
			2)	Esc	0.018518519	1
		17)	eu	1.2722898E-4	77
			1)	eur	0.9818182	54
			2)	Esc	0.018181818	1
		18)	ew	2.3297775E-4	141
		19)	ey	1.3879525E-4	84
			1)	eye	0.992126	126
			2)	Esc	0.007874016	1
		20)	eh	1.5697083E-4	95
		21)	eb	8.988645E-4	544
		22)	ep	1.4870921E-4	90
		23)	e’	0.02065736	12502
		24)	e”	0.009748714	5900
		25)	e…	1.3053363E-4	79
		26)	eè	1.4375223E-4	87
		27)	Esc	4.2960437E-5	26
	2)	s	8.3595014E-4	22252
		1)	sa	0.137624	206011
			1)	sai	0.9595415	4269
			2)	sa”	0.040008992	178
			3)	Esc	4.4953922E-4	2
		2)	so	0.30904555	462614
			1)	sor	0.55429864	490
			2)	son	0.08371041	74
			3)	sol	0.07579186	67
			4)	so”	0.2816742	249
			5)	Esc	0.004524887	4
		3)	si	0.28445962	425811
			1)	sia	0.9590421	116819
			2)	sin	0.022371273	2725
			3)	sie	0.014005648	1706
			4)	sig	7.3065807E-4	89
			5)	sio	0.001280704	156
			6)	sir	5.582556E-4	68
			7)	si”	0.0019538947	238
			8)	Esc	5.746749E-5	7
		4)	st	0.0052174074	7810
			1)	sto	0.28823045	140391
			2)	ste	0.16929492	82460
			3)	sta	0.39612055	192942
			4)	sti	0.14372823	70007
			5)	stà	0.0015870115	773
			6)	sté	7.1035704E-4	346
			7)	str	3.141174E-4	153
			8)	Esc	1.4371385E-5	7
		5)	ss	9.586402E-4	1435
			1)	sse	0.1669075	70113
			2)	sso	0.5032697	211409
			3)	ssi	0.17616308	74001
			4)	ssa	0.15326695	64383
			5)	ssà	3.80888E-4	160
			6)	Esc	1.190275E-5	5
		6)	se	0.21366252	319834
			1)	ser	0.22292627	387
			2)	set	0.045506913	79
			3)	sea	0.06797235	118
			4)	seo	0.13652074	237
			5)	sei	0.13709678	238
			6)	see	0.04032258	70
			7)	sel	0.15322581	266
			8)	sem	0.057603687	100
			9)	se”	0.13364056	232
			10)	Esc	0.005184332	9
		7)	sì	0.043078016	64484
			1)	sì”	0.9968944	321
			2)	Esc	0.0031055901	1
		8)	sc	5.41114E-5	81
			1)	sca	0.3376308	31164
			2)	sco	0.15999654	14768
			3)	sce	0.48807177	45050
			4)	sci	0.014257546	1316
			5)	Esc	4.3336007E-5	4
		9)	su	1.035465E-4	155
			1)	sud	0.33602113	2292
			2)	sun	0.61662513	4206
			3)	sus	0.010702243	73
			4)	suo	0.00894297	61
			5)	sua	0.018618971	127
			6)	sul	0.00820994	56
			7)	Esc	8.7963644E-4	6
		10)	sé	0.0032059334	4799
		11)	sè	2.9260237E-4	438
		12)	sà	1.082228E-4	162
		13)	sk	7.5889565E-4	1136
			1)	sky	0.9931507	145
			2)	Esc	0.006849315	1
		14)	sb	5.491305E-4	822
		15)	sh	1.402888E-4	210
		16)	sv	3.9080455E-4	585
		17)	sò	3.540622E-5	53
		18)	sy	4.475881E-5	67
		19)	sl	1.4897335E-4	223
		20)	s”	1.082228E-4	162
		21)	Esc	1.3360839E-5	20
	3)	a	0.15432991	4108079
		1)	ar	0.1289178	25033
			1)	aro	0.022022279	24082
			2)	are	0.8069224	882393
			3)	ari	0.116833664	127761
			4)	arò	0.0024928465	2726
			5)	arà	0.037990764	41544
			6)	ard	0.005191449	5677
			7)	ara	0.008279616	9054
			8)	art	2.0941375E-4	229
			9)	ark	4.9381408E-5	54
			10)	Esc	8.230234E-6	9
		2)	at	0.0063807433	1239
			1)	ate	0.11239146	144860
			2)	ato	0.4617686	595168
			3)	ati	0.23825887	307089
			4)	ata	0.18748797	241651
			5)	att	8.92242E-5	115
			6)	Esc	3.879313E-6	5
		3)	ac	5.9739E-4	116
			1)	aco	0.028814442	1328
			2)	ace	0.71428573	32920
			3)	aci	0.20393595	9399
			4)	aca	0.032459643	1496
			5)	ack	0.0031244576	144
			6)	act	0.001497136	69
			7)	acy	0.013561014	625
			8)	ach	0.0021480646	99
			9)	Esc	1.7358098E-4	8
		4)	al	0.009444943	1834
			1)	ali	0.364323	335489
			2)	ale	0.6220538	572822
			3)	all	0.005768546	5312
			4)	alo	0.0033034482	3042
			5)	ala	0.0044274023	4077
			6)	als	5.864109E-5	54
			7)	alè	5.7555146E-5	53
			8)	Esc	7.6016227E-6	7
		5)	ad	0.550325	106861
			1)	ado	0.525708	22443
			2)	ada	0.31189245	13315
			3)	ade	0.14169262	6049
			4)	adi	0.020613244	880
			5)	Esc	9.3696566E-5	4
		6)	ai	0.13520584	26254
			1)	aio	0.5351873	10373
			2)	aia	0.4307605	8349
			3)	ail	0.015891032	308
			4)	air	0.007274791	141
			5)	aie	0.0051594265	100
			6)	ain	0.0054173977	105
			7)	Esc	3.0956557E-4	6
		7)	am	0.003893335	756
			1)	amo	0.9329543	272877
			2)	ame	0.04853891	14197
			3)	ami	0.011744112	3435
			4)	ama	0.006496015	1900
			5)	amm	2.4958374E-4	73
			6)	Esc	1.7094777E-5	5
		8)	af	0.007364377	1430
			1)	afo	0.86182606	9543
			2)	afi	0.12661429	1402
			3)	aff	0.01128872	125
			4)	Esc	2.7092927E-4	3
		9)	as	0.032882202	6385
			1)	asi	0.3338252	44793
			2)	aso	0.27730453	37209
			3)	ase	0.3450116	46294
			4)	asa	0.03678613	4936
			5)	ass	0.002392291	321
			6)	ask	0.0028319955	380
			7)	ast	0.0013265663	178
			8)	asy	4.6206242E-4	62
			9)	Esc	5.962096E-5	8
		10)	an	0.073741615	14319
			1)	ane	0.055261143	22378
			2)	ano	0.6897987	279334
			3)	ana	0.066040255	26743
			4)	ani	0.18689469	75683
			5)	ant	5.655019E-4	229
			6)	ang	1.7286085E-4	70
			7)	ans	2.8151623E-4	114
			8)	and	3.2843562E-4	133
			9)	anz	4.6919374E-4	190
			10)	ann	1.6298308E-4	66
			11)	Esc	2.4694407E-5	10
		11)	av	4.325928E-4	84
			1)	ave	0.33379784	13414
			2)	ava	0.31398994	12618
			3)	avi	0.2928383	11768
			4)	avo	0.059274375	2382
			5)	Esc	9.953715E-5	4
		12)	ag	5.149914E-4	100
			1)	agi	0.15437788	469
			2)	ago	0.21560237	655
			3)	aga	0.5299539	1610
			4)	age	0.098749176	300
			5)	Esc	0.0013166557	4
		13)	ae	0.0046658223	906
		14)	ap	0.0038006366	738
			1)	apo	0.3544433	2082
			2)	api	0.592952	3483
			3)	apa	0.027579162	162
			4)	ape	0.011406197	67
			5)	app	0.012768131	75
			6)	Esc	8.512087E-4	5
		15)	aw	6.231396E-4	121
			1)	awi	0.99242425	131
			2)	Esc	0.007575758	1
		16)	ay	0.0019518174	379
		17)	ax	9.836336E-4	191
		18)	ao	0.0024616588	478
			1)	aos	0.9981818	549
			2)	Esc	0.0018181818	1
		19)	aq	0.013430975	2608
		20)	ah	7.2098797E-4	140
		21)	ak	3.8109365E-4	74
		22)	a”	0.021166146	4110
		23)	Esc	1.13298105E-4	22
	4)	o	0.2600807	6923039
		1)	on	0.08635499	14125
			1)	one	0.7084607	1625189
			2)	oni	0.19465625	446536
			3)	ono	0.0851183	195259
			4)	ona	0.010062023	23082
			5)	onu	0.001426347	3272
			6)	ong	5.0131388E-5	115
			7)	ond	9.241612E-5	212
			8)	ons	3.661771E-5	84
			9)	ont	2.5283656E-5	58
			10)	onh	2.7027358E-5	62
			11)	onn	4.010511E-5	92
			12)	Esc	4.795176E-6	11
		2)	ov	8.86476E-4	145
			1)	ovo	0.22848547	28175
			2)	ova	0.26625958	32833
			3)	ove	0.32245848	39763
			4)	ovi	0.18029876	22233
			5)	ovè	0.0018489684	228
			6)	ovò	6.001038E-4	74
			7)	Esc	4.8657064E-5	6
		3)	or	0.6257604	102355
			1)	ori	0.29521787	195782
			2)	ora	0.21754038	144268
			3)	ore	0.35019407	232241
			4)	oro	0.12950219	85883
			5)	ord	0.0029645134	1966
			6)	ort	0.0043864544	2909
			7)	ors	8.14261E-5	54
			8)	ork	1.0102868E-4	67
			9)	Esc	1.2063127E-5	8
		4)	om	0.016879726	2761
			1)	ome	0.8832844	190331
			2)	omè	0.010460319	2254
			3)	omi	0.020484405	4414
			4)	omo	0.05953193	12828
			5)	oma	0.0050816545	1095
			6)	omc	0.018785879	4048
			7)	oms	0.0020326618	438
			8)	omy	3.0165073E-4	65
			9)	Esc	3.7126243E-5	8
		5)	od	0.0031974274	523
			1)	odo	0.8467718	97930
			2)	ode	0.03578006	4138
			3)	odi	0.10917329	12626
			4)	oda	0.0068568364	793
			5)	ody	0.001374826	159
			6)	Esc	4.3233522E-5	5
		6)	os	0.005783492	946
			1)	osi	0.16968562	26464
			2)	oso	0.12922627	20154
			3)	osì	0.24601978	38369
			4)	osa	0.2933912	45757
			5)	ose	0.15466885	24122
			6)	osè	0.0019299944	301
			7)	ost	0.003956168	617
			8)	oss	4.167762E-4	65
			9)	osé	6.476061E-4	101
			10)	Esc	5.7707475E-5	9
		7)	ol	0.036700107	6003
			1)	ole	0.37347504	170550
			2)	olo	0.32556382	148671
			3)	oli	0.21725716	99212
			4)	ola	0.08330103	38040
			5)	olt	3.919791E-4	179
			6)	Esc	1.0949137E-5	5
		8)	ot	0.001100453	180
			1)	ote	0.18065248	7791
			2)	oto	0.4633524	19983
			3)	oti	0.124956526	5389
			4)	ota	0.22909082	9880
			5)	ott	0.001831799	79
			6)	Esc	1.1593665E-4	5
		9)	oè	0.0432906	7081
		10)	op	0.0020602925	337
			1)	opo	0.39387864	36535
			2)	opa	0.57858706	53668
			3)	opi	0.017583579	1631
			4)	ope	0.009907608	919
			5)	Esc	4.312343E-5	4
		11)	oi	0.12679665	20740
			1)	oia	0.42109534	1038
			2)	oio	0.2040568	503
			3)	oie	0.16064909	396
			4)	oil	0.18945234	467
			5)	oin	0.022718053	56
			6)	Esc	0.0020283975	5
		12)	og	6.786127E-4	111
			1)	ogo	0.88008904	44661
			2)	oga	0.111870885	5677
			3)	ogi	0.007980925	405
			4)	Esc	5.911796E-5	3
		13)	oc	0.007146831	1169
			1)	oci	0.1978022	6480
			2)	oce	0.2015873	6604
			3)	oco	0.30094627	9859
			4)	oca	0.23861416	7817
			5)	ock	0.050152626	1643
			6)	ocm	0.010714286	351
			7)	Esc	1.8315019E-4	6
		14)	oo	5.502265E-4	90
			1)	oom	0.15358931	92
			2)	ood	0.2621035	157
			3)	ool	0.57929885	347
			4)	Esc	0.0050083473	3
		15)	ow	0.0022926105	375
		16)	oa	6.358173E-4	104
			1)	oad	0.990566	105
			2)	Esc	0.009433962	1
		17)	oe	0.0015467479	253
		18)	ox	5.3799927E-4	88
		19)	o”	0.03262232	5336
		20)	o’	0.00505597	827
		21)	Esc	1.2227256E-4	20
	5)	n	0.0033748688	89835
		1)	ne	0.5054396	1977079
			1)	nea	0.4283897	19194
			2)	nee	0.13179332	5905
			3)	nel	0.019841535	889
			4)	ner	0.23142506	10369
			5)	neo	0.087981254	3942
			6)	net	0.008927575	400
			7)	nei	0.051155005	2292
			8)	new	0.0017185583	77
			9)	nes	0.0020533423	92
			10)	ne”	0.036491465	1635
			11)	Esc	2.2318937E-4	10
		2)	nz	2.5232622E-4	987
			1)	nza	0.7766232	312027
			2)	nze	0.1820302	73135
			3)	nzi	0.03825036	15368
			4)	nzo	0.0030863122	1240
			5)	Esc	9.955846E-6	4
		3)	nd	1.6080364E-4	629
			1)	nde	0.17531289	70470
			2)	nda	0.12462714	50096
			3)	ndo	0.6135802	246639
			4)	ndi	0.08617623	34640
			5)	nds	1.5672928E-4	63
			6)	ndù	1.3185162E-4	53
			7)	Esc	1.4926599E-5	6
		4)	ni	0.20934461	818873
			1)	nio	0.45278105	9565
			2)	nii	0.0062485207	132
			3)	nia	0.2945799	6223
			4)	nie	0.17604734	3719
			5)	nir	0.028307693	598
			6)	nis	0.002556213	54
			7)	ni”	0.03914793	827
			8)	Esc	3.3136093E-4	7
		5)	nt	3.3950276E-4	1328
			1)	nte	0.4255946	741788
			2)	nto	0.3020451	526448
			3)	nti	0.23812513	415039
			4)	nta	0.027941214	48700
			5)	ntè	5.163674E-5	90
			6)	ntà	0.0054895594	9568
			7)	nts	3.4424495E-5	60
			8)	ntù	6.3283695E-4	1103
			9)	ntò	8.032382E-5	140
			10)	Esc	5.163674E-6	9
		6)	ng	0.0015615082	6108
			1)	ngo	0.62426615	52743
			2)	nga	0.31126314	26298
			3)	nge	0.052551843	4440
			4)	ngi	0.011871508	1003
			5)	Esc	4.7344E-5	4
		7)	no	0.23530558	920422
			1)	nor	0.95505184	84099
			2)	noi	0.030889083	2720
			3)	non	0.002873139	253
			4)	no”	0.011140511	981
			5)	Esc	4.5425124E-5	4
		8)	na	0.040233377	157377
			1)	nai	0.34060404	203
			2)	nal	0.34228188	204
			3)	na”	0.31208053	186
			4)	Esc	0.005033557	3
		9)	nn	0.001002658	3922
			1)	nno	0.6113116	132135
			2)	nni	0.238353	51520
			3)	nna	0.03253759	7033
			4)	nne	0.11777932	25458
			5)	Esc	1.8505667E-5	4
		10)	né	0.0047931755	18749
		11)	ns	8.0273996E-5	314
			1)	nso	0.6683527	38979
			2)	nsi	0.11923664	6954
			3)	nsì	0.124534905	7263
			4)	nsa	0.05351417	3121
			5)	nse	0.03427582	1999
			6)	Esc	8.573241E-5	5
		12)	nu	8.543812E-4	3342
			1)	nuo	0.2069396	2487
			2)	nua	0.517141	6215
			3)	nui	0.20136462	2420
			4)	nue	0.054251954	652
			5)	nur	0.004992511	60
			6)	nus	0.014811116	178
			7)	Esc	4.992511E-4	6
		13)	nè	1.2910308E-4	505
		14)	nò	5.4197728E-5	212
		15)	nk	1.9685025E-5	77
		16)	nh	1.7128528E-5	67
		17)	ny	1.3805082E-5	54
		18)	nl	3.2774286E-4	1282
		19)	nì	1.5850279E-5	62
		20)	n 	1.6361579E-5	64
		21)	n”	3.2978805E-5	129
		22)	Esc	5.368643E-6	21
	6)	r	0.0072954795	194197
		1)	ro	0.13745034	530668
			1)	rom	0.6988196	2072
			2)	rol	0.020573355	61
			3)	roi	0.036762226	109
			4)	roe	0.023271501	69
			5)	rop	0.05227656	155
			6)	ro”	0.16627319	493
			7)	Esc	0.0020236087	6
		2)	rd	0.0019915572	7689
			1)	rdì	0.007461518	1239
			2)	rdo	0.53859633	89435
			3)	rdi	0.18665238	30994
			4)	rda	0.23965384	39795
			5)	rde	0.027605811	4584
			6)	Esc	3.011105E-5	5
		3)	re	0.54208946	2092898
			1)	rei	0.75140405	75725
			2)	ree	0.09394908	9468
			3)	reo	0.043184027	4352
			4)	rea	0.099406615	10018
			5)	res	0.0018357182	185
			6)	rer	6.8467326E-4	69
			7)	re”	0.009466352	954
			8)	Esc	6.94596E-5	7
		4)	ri	0.14988145	578662
			1)	rio	0.4193863	162495
			2)	ria	0.38370255	148669
			3)	rie	0.19345273	74955
			4)	ris	3.14872E-4	122
			5)	rim	8.8267407E-4	342
			6)	ric	4.955363E-4	192
			7)	rii	1.3678867E-4	53
			8)	ri”	0.001607912	623
			9)	Esc	2.0647345E-5	8
		5)	rs	8.210738E-5	317
			1)	rso	0.36157173	83010
			2)	rsi	0.38682643	88808
			3)	rsa	0.07017131	16110
			4)	rse	0.18105592	41567
			5)	rss	3.5281666E-4	81
			6)	Esc	2.1778806E-5	5
		6)	rn	1.7871953E-5	69
			1)	rni	0.16034478	25448
			2)	rno	0.5586738	88666
			3)	rna	0.07657459	12153
			4)	rne	0.20403509	32382
			5)	rnl	3.402475E-4	54
			6)	Esc	3.1504398E-5	5
		7)	ra	0.11458434	442387
			1)	ran	0.68728024	8991
			2)	rae	0.048922185	640
			3)	raq	0.19821128	2593
			4)	rai	0.023773123	311
			5)	rak	0.004357132	57
			6)	ras	0.008026295	105
			7)	rat	0.006803241	89
			8)	ra”	0.022014983	288
			9)	Esc	6.115273E-4	8
		8)	rà	0.04212497	162636
		9)	rt	8.617389E-4	3327
			1)	rti	0.21823199	55676
			2)	rta	0.09255928	23614
			3)	rte	0.39297515	100257
			4)	rto	0.16822474	42918
			5)	rtà	0.12033803	30701
			6)	rtù	0.007325878	1869
			7)	rtò	3.1749392E-4	81
			8)	Esc	2.7437745E-5	7
		10)	rl	1.4245759E-5	55
			1)	rla	0.260974	16516
			2)	rlo	0.40121037	25391
			3)	rle	0.17762223	11241
			4)	rli	0.1601302	10134
			5)	Esc	6.320513E-5	4
		11)	rò	0.010669038	41191
		12)	rm	3.8334045E-5	148
			1)	rme	0.38140076	44109
			2)	rmi	0.2672114	30903
			3)	rma	0.32377863	37445
			4)	rmo	0.02646779	3061
			5)	rmò	0.001098141	127
			6)	Esc	4.3233897E-5	5
		13)	rg	3.7816015E-5	146
			1)	rgo	0.32806933	2763
			2)	rge	0.3129898	2636
			3)	rga	0.35858467	3020
			4)	Esc	3.5620993E-4	3
		14)	rc	2.2534201E-5	87
			1)	rci	0.47504076	35258
			2)	rce	0.015278695	1134
			3)	rca	0.44363454	32927
			4)	rco	0.063688174	4727
			5)	rcé	0.0022904568	170
			6)	Esc	6.736638E-5	5
		15)	ry	4.3255306E-5	167
		16)	rk	3.2376727E-5	125
		17)	rì	2.305223E-5	89
		18)	r�	3.0822644E-5	119
		19)	Esc	4.6622486E-6	18
	7)	p	1.332892E-4	3548
		1)	pe	0.015250059	5672
			1)	peo	0.29630777	100427
			2)	pea	0.538132	182388
			3)	pei	0.104683	35480
			4)	pee	0.05732781	19430
			5)	per	0.0030832507	1045
			6)	pec	1.9178115E-4	65
			7)	pen	2.5374122E-4	86
			8)	Esc	2.0653353E-5	7
		2)	po	0.652881	242828
			1)	poi	0.9044052	16178
			2)	poc	0.008441413	151
			3)	pol	0.027951699	500
			4)	por	0.00575805	103
			5)	po’	0.04556127	815
			6)	po”	0.007546959	135
			7)	Esc	3.354204E-4	6
		3)	pi	0.143706	53449
			1)	più	0.7195166	186875
			2)	pio	0.23662518	61457
			3)	pia	0.03354343	8712
			4)	pie	0.0097642485	2536
			5)	pii	2.964697E-4	77
			6)	piè	2.3101535E-4	60
			7)	Esc	2.3101535E-5	6
		4)	pp	2.4735637E-4	92
			1)	ppo	0.84097236	124400
			2)	ppi	0.13067521	19330
			3)	ppe	0.016697764	2470
			4)	ppa	0.01124902	1664
			5)	ppm	3.7181255E-4	55
			6)	Esc	3.380114E-5	5
		5)	pa	0.1749186	65058
			1)	pa”	0.99523807	209
			2)	Esc	0.004761905	1
		6)	pl	0.0065441895	2434
			1)	pla	0.55611813	659
			2)	pli	0.22025317	261
			3)	ple	0.09620253	114
			4)	plo	0.12405063	147
			5)	Esc	0.0033755274	4
		7)	pm	2.876862E-4	107
		8)	pt	0.0029387013	1093
			1)	pti	0.585	117
			2)	pta	0.405	81
			3)	Esc	0.01	2
		9)	ps	1.908946E-4	71
		10)	pò	0.0025354028	943
		11)	pg	4.7051485E-4	175
		12)	Esc	2.957522E-5	11
	8)	t	8.1667805E-4	21739
		1)	tt	8.4510975E-5	520
			1)	tta	0.13122182	118379
			2)	tti	0.3075824	277479
			3)	tte	0.07370675	66493
			4)	tto	0.4821461	434958
			5)	ttà	0.0052143317	4704
			6)	ttò	1.2193378E-4	110
			7)	Esc	6.6509333E-6	6
		2)	ta	0.13463216	828398
			1)	tas	0.026187051	91
			2)	tat	0.19942446	693
			3)	tan	0.4379856	1522
			4)	tax	0.019568345	68
			5)	tal	0.02676259	93
			6)	tar	0.071366906	248
			7)	tai	0.03884892	135
			8)	tae	0.018992806	66
			9)	ta”	0.15827338	550
			10)	Esc	0.002589928	9
		3)	ti	0.21280676	1309410
			1)	tia	0.4701409	6306
			2)	tir	0.0124506075	167
			3)	tio	0.027361514	367
			4)	tie	0.33542085	4499
			5)	tii	0.00969209	130
			6)	tis	0.006560799	88
			7)	tin	0.011183181	150
			8)	tic	0.02549765	342
			9)	tiv	0.02430478	326
			10)	ti”	0.06970849	935
			11)	tim	0.0068590175	92
			12)	Esc	8.200999E-4	11
		4)	te	0.20555116	1264766
			1)	ter	0.9100914	15629
			2)	tee	0.009375182	161
			3)	tes	0.005357247	92
			4)	tea	0.00803587	138
			5)	tem	0.011529727	198
			6)	tel	0.00430909	74
			7)	tei	0.0037850114	65
			8)	tex	0.00430909	74
			9)	te”	0.04268328	733
			10)	Esc	5.240785E-4	9
		5)	to	0.36350283	2236650
			1)	toi	0.0964539	204
			2)	tor	0.17683215	374
			3)	tom	0.08274232	175
			4)	top	0.037352245	79
			5)	toe	0.028841607	61
			6)	to”	0.5749409	1216
			7)	Esc	0.0028368793	6
		6)	tr	6.013281E-5	370
			1)	tre	0.21756904	66478
			2)	tra	0.10565899	32284
			3)	tro	0.43224165	132071
			4)	tri	0.21676065	66231
			5)	trà	0.026624208	8135
			6)	trò	0.0011258423	344
			7)	Esc	1.9636786E-5	6
		7)	tà	0.08229354	506356
			1)	tà”	0.998452	645
			2)	Esc	0.0015479876	1
		8)	tu	2.5353293E-5	156
			1)	tus	0.5716292	2849
			2)	tua	0.1665329	830
			3)	tum	0.03390851	169
			4)	tui	0.09811396	489
			5)	tuo	0.07905297	394
			6)	tur	0.0315008	157
			7)	tue	0.017857144	89
			8)	Esc	0.0014044944	7
		9)	tè	2.2427912E-5	138
		10)	tù	5.7743746E-4	3553
		11)	ty	1.1750276E-4	723
		12)	ts	5.3794487E-5	331
			1)	tsi	0.9818182	54
			2)	Esc	0.018181818	1
		13)	té	7.31345E-5	450
		14)	tò	8.4836014E-5	522
		15)	th	2.194035E-5	135
		16)	t�	7.4272146E-5	457
		17)	t”	1.5439506E-5	95
		18)	Esc	2.7628587E-6	17
	9)	d	0.0047415714	126215
		1)	dì	0.0074908286	6726
		2)	do	0.57587165	517074
			1)	doi	0.5468354	432
			2)	dos	0.088607594	70
			3)	dor	0.07341772	58
			4)	do”	0.28607595	226
			5)	Esc	0.005063291	4
		3)	de	0.16021085	143853
			1)	dea	0.49560174	10423
			2)	der	0.21102183	4438
			3)	dee	0.19200228	4038
			4)	dev	0.01873425	394
			5)	den	0.04655033	979
			6)	dem	0.005277923	111
			7)	deo	0.0064190957	135
			8)	dei	0.007845561	165
			9)	del	0.009509771	200
			10)	de”	0.006561742	138
			11)	Esc	4.7548857E-4	10
		4)	di	0.106160164	95321
			1)	dio	0.38305306	14579
			2)	dia	0.4081713	15535
			3)	die	0.18360484	6988
			4)	dit	0.012506569	476
			5)	dir	0.008381503	319
			6)	di”	0.0041250656	157
			7)	Esc	1.5764582E-4	6
		5)	da	0.14537731	130534
			1)	dar	0.9088582	1775
			2)	dam	0.04659498	91
			3)	da”	0.043010753	84
			4)	Esc	0.0015360983	3
		6)	dà	0.0030081368	2701
		7)	ds	0.0013397959	1203
		8)	dò	1.6705683E-4	150
		9)	dy	2.2385616E-4	201
		10)	dù	6.014046E-5	54
		11)	dt	7.7959856E-5	70
		12)	Esc	1.22508345E-5	11
	10)	ì	0.0027306252	72686
		1)	ì”	0.9968944	321
		2)	Esc	0.0031055901	1
	11)	b	1.3035894E-4	3470
		1)	br	6.121539E-4	92
			1)	bre	0.12934588	20116
			2)	bri	0.65845126	102403
			3)	bro	0.10488616	16312
			4)	bra	0.107290976	16686
			5)	Esc	2.5719999E-5	4
		2)	be	0.7713805	115930
			1)	ben	0.94123554	14063
			2)	bei	0.010307209	154
			3)	bel	0.04390603	656
			4)	ber	0.0042835153	64
			5)	Esc	2.677197E-4	4
		3)	bi	0.0915037	13752
			1)	bia	0.52157867	21198
			2)	bio	0.45721176	18582
			3)	big	0.001377885	56
			4)	bis	0.009472959	385
			5)	bie	0.008833227	359
			6)	bin	0.001377885	56
			7)	Esc	1.4763053E-4	6
		4)	ba	0.09471086	14234
			1)	ban	0.48101267	114
			2)	bar	0.51054853	121
			3)	Esc	0.008438818	2
		5)	bo	0.030188503	4537
			1)	box	0.9852941	67
			2)	Esc	0.014705882	1
		6)	bù	0.002694808	405
		7)	by	0.0050702314	762
		8)	b­	9.381924E-4	141
		9)	bc	6.0550007E-4	91
			1)	bcè	0.9836066	60
			2)	Esc	0.016393442	1
		10)	bg	0.0022290386	335
		11)	Esc	6.653847E-5	10
	12)	v	8.110805E-5	2159
		1)	vo	0.23160644	171880
			1)	von	0.57745457	794
			2)	voi	0.3330909	458
			3)	vo”	0.087272726	120
			4)	Esc	0.0021818182	3
		2)	vi	0.17922819	133009
			1)	vio	0.2650102	8298
			2)	via	0.6158342	19283
			3)	vie	0.09574604	2998
			4)	vii	0.01520184	476
