English	3	22380891
			4)	Esc	4.499775E-4	3
		15)	ix	0.0016537083	1223
		16)	ik	1.1358258E-4	84
			1)	ike	0.89422464	4227
			2)	ikh	0.014173894	67
			3)	ika	0.09096678	430
			4)	Esc	6.34652E-4	3
		17)	ii	1.3656954E-4	101
		18)	Esc	2.2986951E-5	17
	2)	o	0.007435763	166419
		1)	on	0.6910455	1175552
			1)	ons	0.71964395	370626
			2)	one	0.11984552	61722
			3)	ong	0.09246174	47619
			4)	ond	0.056868467	29288
			5)	ont	0.0069105052	3559
			6)	ony	0.0030698255	1581
			7)	ona	4.7377445E-4	244
			8)	on’	7.106617E-4	366
			9)	Esc	1.553359E-5	8
		2)	op	0.011554734	19656
			1)	ope	0.7560921	43532
			2)	opt	0.15814155	9105
			3)	opy	0.008145897	469
			4)	ops	0.07755102	4465
			5)	Esc	6.94746E-5	4
		3)	od	0.04444834	75612
			1)	ody	0.36035532	10304
			2)	ods	0.52423584	14990
			3)	ode	0.101664685	2907
			4)	odd	0.013604253	389
			5)	Esc	1.3988948E-4	4
		4)	os	0.002546556	4332
			1)	ose	0.70205516	95615
			2)	ost	0.20622939	28087
			3)	oss	0.089336455	12167
			4)	osy	9.251577E-4	126
			5)	osé	9.1781514E-4	125
			6)	oso	4.919489E-4	67
			7)	Esc	4.4055127E-5	6
		5)	ou	0.0020122025	3423
			1)	ous	0.32826915	93797
			2)	out	0.44078717	125947
			3)	oup	0.06903672	19726
			4)	our	0.15105413	43161
			5)	oud	0.009722398	2778
			6)	oul	0.0011094313	317
			7)	Esc	2.0998697E-5	6
		6)	om	0.012878567	21908
			1)	omb	0.005140882	522
			2)	ome	0.75536495	76699
			3)	omy	0.1652567	16780
			4)	oms	0.071804926	7291
			5)	oma	0.0016545367	168
			6)	omm	7.1893557E-4	73
			7)	Esc	5.9090595E-5	6
		7)	or	0.047119517	80156
			1)	ort	0.40151	220486
			2)	orm	0.06290723	34545
			3)	ore	0.22563198	123904
			4)	ord	0.017651172	9693
			5)	ory	0.06559141	36019
			6)	ork	0.15351039	84299
			7)	ors	0.06781488	37240
			8)	orn	0.0033488607	1839
			9)	ori	3.132159E-4	172
			10)	ora	0.0011709175	643
			11)	orb	5.299176E-4	291
			12)	Esc	2.0031248E-5	11
		8)	ot	0.031366963	53359
			1)	ota	0.025818335	1654
			2)	ote	0.89909935	57599
			3)	ots	0.050856188	3258
			4)	oth	0.017014502	1090
			5)	ott	0.0045736227	293
			6)	oto	0.0025443705	163
			7)	Esc	9.365781E-5	6
		9)	ow	0.09590852	163152
			1)	own	0.7359741	47881
			2)	ows	0.25172922	16377
			3)	owe	0.011159273	726
			4)	owd	0.001075963	70
			5)	Esc	6.14836E-5	4
		10)	ol	0.014315854	24353
			1)	old	0.27961084	21813
			2)	ole	0.57228374	44645
			3)	oly	0.016228272	1266
			4)	ols	0.115725785	9028
			5)	oll	0.011446957	893
			6)	olf	0.0012690355	99
			7)	olt	0.0015125878	118
			8)	ola	6.024714E-4	47
			9)	oli	5.768343E-4	45
			10)	olk	6.1528996E-4	48
			11)	Esc	1.281854E-4	10
		11)	oo	0.021079041	35858
			1)	ook	0.20954217	23690
			2)	oom	0.023501627	2657
			3)	oor	0.09261782	10471
			4)	ood	0.5130466	58003
			5)	ool	0.047825858	5407
			6)	oot	0.017292315	1955
			7)	oof	0.020945372	2368
			8)	oon	0.072114706	8153
			9)	oop	0.0014417634	163
			10)	oos	0.0015832862	179
			11)	Esc	8.845174E-5	10
		12)	ok	0.013951977	23734
			1)	oke	0.657104	4352
			2)	oks	0.342594	2269
			3)	Esc	3.0197797E-4	2
		13)	oa	1.6988798E-4	289
			1)	oad	0.6909393	14138
			2)	oal	0.23287068	4765
			3)	oat	0.037581857	769
			4)	oam	0.0026879094	55
			5)	oan	0.026048284	533
			6)	oak	0.0045938813	94
			7)	oar	0.004935979	101
			8)	Esc	3.4209754E-4	7
		14)	oy	0.0031784922	5407
			1)	oys	0.8545151	2044
			2)	oya	0.14464884	346
			3)	Esc	8.361204E-4	2
		15)	ob	0.004666335	7938
			1)	obs	0.9715152	12176
			2)	obe	0.02832522	355
			3)	Esc	1.5957872E-4	2
		16)	oc	6.7132205E-4	1142
			1)	ock	0.9744572	6104
			2)	ocs	0.0252235	158
			3)	Esc	3.192848E-4	2
		17)	og	3.144985E-4	535
			1)	ogy	0.9537037	10300
			2)	ogs	0.030462964	329
			3)	ogo	0.015555556	168
			4)	Esc	2.7777778E-4	3
		18)	oe	8.9940695E-5	153
			1)	oes	0.9558297	7206
			2)	oed	0.025732856	194
			3)	oet	0.018039528	136
			4)	Esc	3.9793077E-4	3
		19)	of	0.0020004455	3403
			1)	off	0.7043032	1784
			2)	ofs	0.02289775	58
			3)	oft	0.2716147	688
			4)	Esc	0.0011843664	3
		20)	ox	5.8902334E-4	1002
			1)	oxy	0.9880952	83
			2)	Esc	0.011904762	1
		21)	oh	5.1142746E-5	87
		22)	o’	2.8216687E-5	48
		23)	Esc	1.2932648E-5	22
	3)	n	0.09474891	2120565
		1)	ne	0.039324883	121132
			1)	ned	0.4279072	110807
			2)	new	0.2878846	74548
			3)	nel	0.0114423195	2963
			4)	ner	0.062042627	16066
			5)	nes	0.13051504	33797
			6)	net	0.012118123	3138
			7)	nex	0.0022436676	581
			8)	ney	0.06301192	16317
			9)	neu	0.0017802595	461
			10)	nee	5.3291937E-4	138
			11)	nen	2.1625713E-4	56
			12)	nea	2.587362E-4	67
			13)	Esc	4.6340814E-5	12
		2)	nt	0.25727	792466
			1)	nto	0.21288423	60315
			2)	nth	0.017774766	5036
			3)	nts	0.7422694	210302
			4)	nty	0.023976168	6793
			5)	nti	4.0589715E-4	115
			6)	nte	9.247396E-4	262
			7)	nta	0.001267105	359
			8)	nt’	4.694289E-4	133
			9)	Esc	2.8236323E-5	8
		3)	ng	0.4334275	1335082
			1)	ngs	0.55829585	47674
			2)	nge	0.4390341	37490
			3)	ngo	5.8553496E-4	50
			4)	ng’	0.0020376616	174
			5)	Esc	4.6842797E-5	4
		4)	nc	3.1165906E-5	96
			1)	nce	0.8063119	198822
			2)	ncy	0.17590903	43376
			3)	nct	0.0033295213	821
			4)	nch	0.013950734	3440
			5)	ncs	4.7854264E-4	118
			6)	Esc	2.027723E-5	5
		5)	ns	0.16496828	508150
			1)	nse	0.31182408	21683
			2)	nst	0.67764896	47121
			3)	ns’	0.010483778	729
			4)	Esc	4.314312E-5	3
		6)	no	3.4866857E-4	1074
			1)	now	0.68355757	100660
			2)	not	0.2854019	42028
			3)	nor	0.0150143625	2211
			4)	non	0.014077238	2073
			5)	nos	6.7228486E-4	99
			6)	nol	0.0012359177	182
			7)	Esc	4.0744537E-5	6
		7)	nd	0.07289901	224550
			1)	nda	0.16737117	11166
			2)	nds	0.82777226	55224
			3)	ndi	0.0022484036	150
			4)	ndy	0.001049255	70
			5)	ndo	0.0014839463	99
			6)	Esc	7.494679E-5	5
		8)	nk	0.026234226	80809
			1)	nks	0.99993515	15416
			2)	Esc	6.486346E-5	1
		9)	na	0.0013644823	4203
			1)	nal	0.9923318	179360
			2)	nar	0.0018700275	338
			3)	nas	0.005377712	972
			4)	nap	3.9834908E-4	72
			5)	Esc	2.2130504E-5	4
		10)	ny	0.0033977332	10466
			1)	nym	0.1687898	53
			2)	nya	0.1687898	53
			3)	nyl	0.17834395	56
			4)	nys	0.4713376	148
			5)	Esc	0.012738854	4
		11)	nl	4.1781794E-4	1287
			1)	nly	0.9999873	78765
			2)	Esc	1.2695833E-5	1
		12)	nu	2.7270169E-5	84
			1)	nue	0.93236196	22524
			2)	nus	0.016392086	396
			3)	nup	0.027775478	671
			4)	nut	0.004222204	102
			5)	num	0.016350692	395
			6)	nub	0.002649226	64
			7)	Esc	2.4836493E-4	6
		13)	ni	6.427968E-5	198
			1)	nic	0.8270338	9190
			2)	nit	0.09062275	1007
			3)	nia	0.076673865	852
			4)	nis	0.0053095752	59
			5)	Esc	3.599712E-4	4
		14)	nn	4.3177766E-5	133
			1)	nny	0.5205479	418
			2)	nne	0.40473226	325
			3)	nna	0.07098381	57
			4)	Esc	0.00373599	3
		15)	n’	1.5842669E-4	488
			1)	n’s	0.99916667	1199
			2)	Esc	8.3333335E-4	1
		16)	n 	1.7855467E-5	55
		17)	Esc	5.194318E-6	16
	4)	a	0.0051395628	115028
		1)	ar	0.109346405	189689
			1)	are	0.14030764	45088
			2)	art	0.1721171	55310
			3)	ary	0.2984898	95920
			4)	ars	0.16707276	53689
			5)	ard	0.17760953	57075
			6)	arm	0.013950478	4483
			7)	arn	0.013069821	4200
			8)	ark	0.015416165	4954
			9)	ara	2.0849476E-4	67
			10)	arp	0.0014874701	478
			11)	arf	2.3650152E-4	76
			12)	Esc	3.4230485E-5	11
		2)	an	0.12811391	222246
			1)	ant	0.52825403	156883
			2)	ank	0.112507746	33413
			3)	and	0.17485453	51929
			4)	any	0.017169274	5099
			5)	ans	0.15467499	45936
			6)	ane	0.0070778225	2102
			7)	ano	5.724214E-4	170
			8)	ang	0.0012020849	357
			9)	ana	0.0032021927	951
			10)	ann	2.18867E-4	65
			11)	anc	2.2896857E-4	68
			12)	Esc	3.7039033E-5	11
		3)	al	0.49227124	853969
			1)	alf	0.1352976	23745
			2)	all	0.40001824	70204
			3)	ale	0.051537875	9045
			4)	als	0.33277112	58402
			5)	alt	0.030626431	5375
			6)	alk	0.042073596	7384
			7)	alm	0.004900229	860
			8)	aly	0.001635309	287
			9)	ald	4.330435E-4	76
			10)	ali	3.0199086E-4	53
			11)	al’	3.4187644E-4	60
			12)	Esc	6.267735E-5	11
		4)	at	0.036696866	63660
			1)	ate	0.880147	241434
			2)	ath	0.034818143	9551
			3)	ata	0.041722715	11445
			4)	aty	0.014042456	3852
			5)	ats	0.023611886	6477
			6)	ato	0.0016295373	447
			7)	ati	0.0037767352	1036
			8)	att	2.2237534E-4	61
			9)	Esc	2.9163979E-5	8
		5)	ay	0.124958426	216772
			1)	ays	0.9999781	45749
			2)	Esc	2.1857924E-5	1
		6)	as	0.025988137	45083
			1)	ase	0.39976937	67948
			2)	ask	0.1638073	27842
			3)	ast	0.34299985	58299
			4)	ass	0.04910336	8346
			5)	ash	0.0102313375	1739
			6)	asy	0.025528334	4339
			7)	asp	0.0026710911	454
			8)	asm	0.0058422764	993
			9)	Esc	4.7067682E-5	8
		7)	am	0.011157208	19355
			1)	ame	0.9352524	53835
			2)	ams	0.03180918	1831
			3)	amp	0.017667906	1017
			4)	ama	0.00479483	276
			5)	amy	7.643932E-4	44
			6)	amb	0.001181335	68
			7)	amt	0.0013724332	79
			8)	ami	0.007018519	404
			9)	Esc	1.3898058E-4	8
		8)	ag	9.0502796E-4	1570
			1)	ago	0.14458485	12529
			2)	age	0.8437482	73115
			3)	ags	0.009497432	823
			4)	aga	0.0021233629	184
			5)	Esc	4.616006E-5	4
		9)	ap	0.004047262	7021
			1)	aph	0.21459559	5837
			2)	aps	0.5326103	14487
			3)	ape	0.16772059	4562
			4)	apt	0.07665441	2085
			5)	apy	0.008235294	224
			6)	Esc	1.8382353E-4	5
		10)	ad	0.028749915	49874
			1)	ady	0.30660442	40324
			2)	ade	0.5965039	78451
			3)	add	0.048327986	6356
			4)	ads	0.04649554	6115
			5)	ado	0.0011025107	145
			6)	ada	9.2002616E-4	121
			7)	Esc	4.562113E-5	6
		11)	ak	0.007971164	13828
			1)	ake	0.98762333	130628
			2)	aks	0.011665974	1543
			3)	aky	6.880127E-4	91
			4)	Esc	2.2681737E-5	3
		12)	aw	0.022422789	38898
			1)	awn	0.49773675	5498
			2)	aws	0.5020822	5546
			3)	Esc	1.8106101E-4	2
		13)	af	3.0378965E-4	527
			1)	aft	0.6045673	12575
			2)	afe	0.18461539	3840
			3)	aff	0.21067308	4382
			4)	Esc	1.4423077E-4	3
		14)	ac	6.052735E-5	105
			1)	act	0.3642549	77575
			2)	ace	0.29154947	62091
			3)	ack	0.08428926	17951
			4)	acy	0.12095657	25760
			5)	ach	0.13892633	29587
			6)	Esc	2.3477596E-5	5
		15)	ax	0.0064470274	11184
			1)	axi	0.9861111	71
			2)	Esc	0.013888889	1
		16)	au	8.704409E-5	151
			1)	aud	0.91551816	5115
			2)	aul	0.068551995	383
			3)	aux	0.015392876	86
			4)	Esc	5.369608E-4	3
		17)	ab	1.1356083E-4	197
			1)	aby	0.8147268	343
			2)	abs	0.18052256	76
			3)	Esc	0.004750594	2
		18)	ae	1.7408819E-4	302
			1)	ael	0.99622643	264
			2)	Esc	0.003773585	1
		19)	ah	7.263282E-5	126
			1)	ahs	0.9875	79
			2)	Esc	0.0125	1
		20)	aq	6.802121E-5	118
		21)	a’	3.2857704E-5	57
			1)	a’s	0.9893617	93
			2)	Esc	0.010638298	1
		22)	Esc	1.210547E-5	21
	5)	r	0.03964574	887307
		1)	re	0.3141334	563457
			1)	red	0.33134297	90229
			2)	ret	0.025885653	7049
			3)	res	0.29614818	80645
			4)	ree	0.15975733	43504
			5)	rea	0.11330711	30855
			6)	rew	0.005445939	1483
			7)	rer	0.014773441	4023
			8)	ren	0.04967813	13528
			9)	rey	0.001920584	523
			10)	rel	0.0013513861	368
			11)	re’	3.4886325E-4	95
			12)	Esc	4.0394694E-5	11
		2)	ra	0.0024647557	4421
			1)	ral	0.87264794	99570
			2)	raw	0.09877214	11270
			3)	rag	0.0017878896	204
			4)	rap	0.005845698	667
			5)	rat	0.0025328437	289
			6)	ray	0.0059333397	677
			7)	ram	0.002120928	242
			8)	rab	8.8518066E-4	101
			9)	ran	0.005907047	674
			10)	raq	9.815865E-4	112
			11)	rax	3.9438743E-4	45
			12)	ras	0.0020858713	238
			13)	Esc	1.0516998E-4	12
		3)	rs	0.17866217	320464
			1)	rse	0.43659738	42415
			2)	rst	0.5379983	52266
			3)	rsy	0.0046938206	456
			4)	rsh	0.0061143194	594
			5)	rsa	0.002161628	210
			6)	rs’	0.012372747	1202
			7)	Esc	6.17608E-5	6
		4)	rl	1.10387155E-4	198
			1)	rly	0.68762994	67473
			2)	rld	0.30392158	29822
			3)	rls	0.00841792	826
			4)	Esc	3.057356E-5	3
		5)	rm	0.034874536	62554
			1)	rms	0.96364874	45225
			2)	rmy	0.034518763	1620
			3)	rma	0.0017685539	83
			4)	Esc	6.392363E-5	3
		6)	ry	0.18250954	327365
			1)	rys	0.88776374	2104
			2)	ryo	0.091983125	218
			3)	ry’	0.01898734	45
			4)	Esc	0.0012658228	3
		7)	rt	0.15788318	283193
			1)	rts	0.65810484	53908
			2)	rth	0.10729545	8789
			3)	rty	0.2229045	18259
			4)	rto	0.009656469	791
			5)	rte	0.001977684	162
			6)	Esc	6.1039624E-5	5
		8)	rd	0.046911754	84145
			1)	rds	0.99441344	48060
			2)	rdy	0.00554521	268
			3)	Esc	4.1382165E-5	2
		9)	rg	1.3157257E-4	236
			1)	rgo	0.028454669	1692
			2)	rge	0.46274152	27516
			3)	rgy	0.50875336	30252
			4)	Esc	5.045154E-5	3
		10)	ro	0.0075765727	13590
			1)	row	0.3553555	12355
			2)	rol	0.4108088	14283
			3)	ron	0.011878739	413
			4)	ror	0.07748505	2694
			5)	ros	0.036872987	1282
			6)	rop	0.05269213	1832
			7)	roy	0.032990105	1147
			8)	rom	0.014898757	518
			9)	rot	0.005062126	176
			10)	rob	0.0016682006	58
			11)	Esc	2.876208E-4	10
		11)	rn	0.023665778	42449
			1)	rns	0.8732348	15954
			2)	rne	0.06825397	1247
			3)	rnt	0.04969896	908
			4)	rny	0.008593323	157
			5)	Esc	2.1893815E-4	4
		12)	rk	0.04987548	89461
			1)	rks	0.99992317	13010
			2)	Esc	7.685804E-5	1
		13)	ri	1.5554554E-4	279
			1)	rim	0.056682266	1526
			2)	ria	0.38384965	10334
			3)	rit	0.20934552	5636
			4)	rio	0.03045836	820
			5)	ric	0.23293218	6271
			6)	ris	0.006054528	163
			7)	rip	0.026818216	722
			8)	rid	0.04446178	1197
			9)	rie	0.0023400935	63
			10)	ril	0.004308744	116
			11)	rin	0.0023400935	63
			12)	Esc	4.0858777E-4	11
		14)	rb	5.7646626E-4	1034
			1)	rby	0.32954547	116
			2)	rbs	0.66477275	234
			3)	Esc	0.0056818184	2
		15)	rf	7.024637E-5	126
		16)	rp	2.8488805E-4	511
			1)	rps	0.9957447	234
			2)	Esc	0.004255319	1
		17)	r’	1.04254534E-4	187
			1)	r’s	0.9989827	982
			2)	Esc	0.001017294	1
		18)	Esc	9.477685E-6	17
	6)	e	0.18493351	4138977
		1)	ed	0.33065382	1352514
			1)	eds	0.8385063	25935
			2)	edy	0.121176854	3748
			3)	ede	0.030585192	946
			4)	eda	0.0033947623	105
			5)	edo	0.0023924992	74
			6)	ed’	0.003750404	116
			7)	Esc	1.9398642E-4	6
		2)	ew	0.030390011	124308
			1)	ews	0.99988514	8707
			2)	Esc	1.14836934E-4	1
		3)	ea	0.011129167	45523
			1)	ear	0.36768186	102545
			2)	eas	0.11294174	31499
			3)	eak	0.049122255	13700
			4)	eat	0.15242599	42511
			5)	ead	0.09443305	26337
			6)	eal	0.14130716	39410
			7)	ean	0.061280906	17091
			8)	eau	4.8046582E-4	134
			9)	eam	0.01232359	3437
			10)	eap	0.0065221447	1819
			11)	eaf	0.0014413975	402
			12)	Esc	3.9441224E-5	11
		4)	ee	0.025420599	103981
			1)	een	0.5163064	209228
			2)	eek	0.02906179	11777
			3)	eel	0.028948277	11731
			4)	ees	0.052327015	21205
			5)	eet	0.028864376	11697
			6)	eed	0.29743856	120534
			7)	eem	0.010968809	4445
			8)	eep	0.026043827	10554
			9)	eer	0.0054239463	2198
			10)	eef	0.0045923404	1861
			11)	Esc	2.4676734E-5	10
		5)	en	0.11204514	458312
			1)	ent	0.82625526	547347
			2)	end	0.08713655	57723
			3)	ens	0.0773108	51214
			4)	ena	0.0015880612	1052
			5)	ene	0.005908433	3914
			6)	eny	0.001678635	1112
			7)	enu	1.11707726E-4	74
			8)	Esc	1.0566947E-5	7
		6)	er	0.1126837	460924
			1)	ers	0.3700304	204101
			2)	ere	0.34606102	190880
			3)	ery	0.19675876	108528
			4)	ert	0.008140266	4490
			5)	erm	0.030798852	16988
			6)	ern	0.042677477	23540
			7)	erb	4.5687018E-4	252
			8)	ero	0.0018401716	1015
			9)	era	0.0024547707	1354
			10)	erd	1.9398853E-4	107
			11)	erg	2.3024807E-4	127
			12)	erk	1.3597327E-4	75
			13)	er’	1.9761448E-4	109
			14)	Esc	2.35687E-5	13
		7)	es	0.27348956	1118688
			1)	ess	0.66240364	168695
			2)	est	0.3200757	81514
			3)	esh	0.00779437	1985
			4)	esk	4.986826E-4	127
			5)	ese	0.0041347463	1053
			6)	esy	0.0011465773	292
			7)	es’	0.0039187814	998
			8)	Esc	2.7486443E-5	7
		8)	ec	1.2957095E-5	53
			1)	ect	0.91052526	115013
			2)	eck	0.018992202	2399
			3)	ech	0.04879864	6164
			4)	ece	0.016640937	2102
			5)	ecy	0.0042829434	541
			6)	ecu	7.1250444E-4	90
			7)	Esc	4.7500296E-5	6
		9)	ex	0.0015682975	6415
			1)	ext	0.9999799	49824
			2)	Esc	2.0070245E-5	1
		10)	et	0.046228226	189093
			1)	ets	0.35499793	28195
			2)	ety	0.43839946	34819
			3)	ete	0.16162825	12837
			4)	etc	0.027133198	2155
			5)	eth	0.006345769	504
			6)	eto	0.009946741	790
			7)	eta	8.058119E-4	64
			8)	et’	6.421314E-4	51
			9)	Esc	1.0072649E-4	8
		11)	ek	0.0028852762	11802
			1)	eks	0.99986804	7577
			2)	Esc	1.3196094E-4	1
		12)	el	0.016482648	67421
			1)	ely	0.48723012	133694
			2)	elf	0.09744311	26738
			3)	eld	0.07919212	21730
			4)	els	0.06532894	17926
			5)	ell	0.18100482	49667
			6)	elp	0.07831383	21489
			7)	elm	4.4096852E-4	121
			8)	elt	0.011016925	3023
			9)	Esc	2.9154944E-5	8
		13)	ep	0.005983244	24474
			1)	ept	0.77473444	21440
			2)	eps	0.22519332	6232
			3)	Esc	7.227E-5	2
		14)	em	0.020968247	85769
			1)	ems	0.8402687	50543
			2)	eme	0.0963575	5796
			3)	ema	0.0051703216	311
			4)	emy	0.0104403915	628
			5)	emp	0.0021612276	130
			6)	emn	0.043756545	2632
			7)	emu	0.0017289821	104
			8)	Esc	1.1637379E-4	7
		15)	eg	1.6819776E-4	688
			1)	ego	0.0032200934	60
			2)	egy	0.9177803	17101
			3)	ege	0.058176354	1084
			4)	egs	0.010143294	189
			5)	egg	0.010411635	194
			6)	Esc	2.6834113E-4	5
		16)	eu	1.4252805E-4	583
			1)	eur	0.96977454	27657
			2)	eup	0.016620498	474
			3)	eum	0.007819349	223
			4)	eus	0.0025947613	74
			5)	eue	0.0030155336	86
			6)	Esc	1.7532172E-4	5
		17)	ey	0.007481378	30602
			1)	eys	0.39116094	1186
			2)	eye	0.6081794	1844
			3)	Esc	6.5963063E-4	2
		18)	ef	0.0018900245	7731
			1)	eft	0.9166667	6622
			2)	efs	0.0740587	535
			3)	efy	0.008859358	64
			4)	Esc	4.1528238E-4	3
		19)	eb	8.189862E-5	335
			1)	eby	0.64612937	5684
			2)	ebt	0.3536433	3111
			3)	Esc	2.2735023E-4	2
		20)	eo	8.11652E-5	332
			1)	eof	0.7614943	265
			2)	eon	0.23275863	81
			3)	Esc	0.0057471264	2
		21)	ez	1.3201568E-5	54
			1)	eze	0.99776787	447
			2)	Esc	0.002232143	1
		22)	e 	1.5157357E-5	62
		23)	e’	1.799325E-4	736
			1)	e’s	0.99932796	1487
			2)	Esc	6.72043E-4	1
		24)	Esc	5.6228905E-6	23
	7)	m	0.012661425	283374
		1)	me	0.5405328	257352
			1)	med	0.17737171	29722
			2)	mes	0.32060227	53723
			3)	met	0.026299614	4407
			4)	men	0.37147087	62247
			5)	mer	0.10374234	17384
			6)	me’	4.7741528E-4	80
			7)	Esc	3.5806144E-5	6
		2)	ms	0.2708482	128953
			1)	msy	0.61290324	114
			2)	ms’	0.37634408	70
			3)	Esc	0.010752688	2
		3)	mb	0.0018168146	865
			1)	mbs	0.8932179	619
			2)	mbo	0.103896104	72
			3)	Esc	0.0028860029	2
		4)	mo	2.5624438E-4	122
			1)	mon	0.9983018	34096
			2)	mos	0.0016396323	56
			3)	Esc	5.8558297E-5	2
		5)	ma	0.0041545196	1978
			1)	may	0.3157917	29818
			2)	man	0.51824236	48934
			3)	mal	0.13300785	12559
			4)	mad	0.0056130392	530
			5)	map	0.014985756	1415
			6)	mas	0.006735647	636
			7)	mat	0.004405706	416
			8)	max	4.977601E-4	47
			9)	mar	6.248478E-4	59
			10)	Esc	9.531576E-5	9
		6)	mr	0.12797096	60928
			1)	mrs	0.9996977	3307
			2)	Esc	3.0229747E-4	1
		7)	mi	8.863535E-4	422
			1)	mit	0.25228193	19762
			2)	mix	0.0091404645	716
			3)	mic	0.72563285	56841
			4)	mis	0.002157456	169
			5)	mid	0.0074425847	583
			6)	mia	0.0022595841	177
			7)	min	9.957489E-4	78
			8)	Esc	8.936208E-5	7
		8)	mm	2.3944148E-4	114
			1)	mme	0.98261845	22839
			2)	mma	0.01729553	402
			3)	Esc	8.604741E-5	2
		9)	mu	2.1843784E-4	104
			1)	mum	0.961616	9545
			2)	mup	0.015111827	150
			3)	mud	0.0055410033	55
			4)	mus	0.017328229	172
			5)	Esc	4.0298206E-4	4
		10)	my	0.04012325	19103
			1)	mys	0.990566	105
			2)	Esc	0.009433962	1
		11)	mp	0.003826863	1822
			1)	mpt	0.80172193	6239
			2)	mps	0.16563866	1289
			3)	mph	0.025957337	202
			4)	mpo	0.00616808	48
			5)	Esc	5.140067E-4	4
		12)	mn	0.0081305085	3871
			1)	mns	0.9979424	485
			2)	Esc	0.002057613	1
