English	4	128173779	11379
				5)	thie	8451	596	3.0394203E-6
			3)	tho	0	0	0.0
				1)	thos	395	61752	3.1491657E-4
				2)	thou	793	40654	2.0732314E-4
				3)	thor	1007	33586	1.7127847E-4
				4)	thod	2804	9503	4.8462436E-5
				5)	thol	9994	325	1.657402E-6
			4)	tha	0	0	0.0
				1)	than	760	41730	2.1281042E-4
				2)	that	2990	8562	4.366362E-5
				3)	thal	9455	403	2.0551786E-6
			5)	ths	0	0	0.0
				1)	ths_	2150	14585	7.43791E-5
				2)	thst	8025	716	3.651384E-6
			6)	thr	0	0	0.0
				1)	thre	2247	13914	7.0957205E-5
				2)	thro	2519	11564	5.8972913E-5
				3)	thru	8283	638	3.2536077E-6
				4)	thri	8700	539	2.7487374E-6
			7)	thy	0	0	0.0
				1)	thy_	3393	6749	3.4417866E-5
			8)	thd	0	0	0.0
				1)	thdr	4135	4523	2.3065937E-5
			9)	thn	0	0	0.0
				1)	thni	4667	3263	1.6640317E-5
			10)	thc	0	0	0.0
				1)	thco	4775	3084	1.572747E-5
				2)	thca	5713	1954	9.964811E-6
			11)	thl	0	0	0.0
				1)	thly	5076	2615	1.3335712E-5
				2)	thle	8487	587	2.9935231E-6
			12)	thu	0	0	0.0
				1)	thus	6131	1599	8.154418E-6
			13)	thq	0	0	0.0
				1)	thqu	7145	1037	5.2883875E-6
			14)	thw	0	0	0.0
				1)	thwh	7858	770	3.926768E-6
				2)	thwa	9592	381	1.9429851E-6
				3)	thwe	10767	246	1.2545258E-6
			15)	thf	0	0	0.0
				1)	thfu	9044	469	2.3917587E-6
			16)	thh	0	0	0.0
				1)	thho	10083	316	1.6115048E-6
		4)	ta	0	0	0.0
			1)	tak	0	0	0.0
				1)	take	137	111543	5.6883565E-4
				2)	taki	1683	19909	1.015299E-4
			2)	tan	0	0	0.0
				1)	tant	189	95055	4.8475186E-4
				2)	tanc	555	51387	2.6205822E-4
				3)	tand	566	50594	2.5801416E-4
				4)	tang	5990	1713	8.735784E-6
				5)	tane	7064	1069	5.4515776E-6
				6)	tank	7476	899	4.584629E-6
				7)	tan_	9650	371	1.8919882E-6
			3)	tab	0	0	0.0
				1)	tabl	289	72372	3.690754E-4
				2)	tabi	2048	15518	7.913712E-5
				3)	taba	7327	955	4.8702123E-6
				4)	tabo	9677	367	1.8715893E-6
			4)	tai	0	0	0.0
				1)	tain	293	71911	3.6672442E-4
				2)	tail	2318	13274	6.76934E-5
				3)	tair	8381	611	3.115916E-6
			5)	tat	0	0	0.0
				1)	tati	321	69391	3.5387318E-4
				2)	tate	458	57821	2.9486968E-4
				3)	tatu	3128	7853	4.0047933E-5
				4)	tato	4558	3483	1.776225E-5
				5)	tat_	9225	438	2.233668E-6
				6)	tats	9759	355	1.810393E-6
			6)	tal	0	0	0.0
				1)	tal_	327	68352	3.485746E-4
				2)	talk	1687	19887	1.014177E-4
				3)	tall	2523	11521	5.8753627E-5
				4)	tali	3527	6243	3.183742E-5
				5)	tals	5979	1722	8.781681E-6
				6)	tale	7932	746	3.8043752E-6
				7)	taly	8398	607	3.095517E-6
				8)	talo	9651	371	1.8919882E-6
			7)	tar	0	0	0.0
				1)	tary	937	35698	1.8204904E-4
				2)	tart	1674	20009	1.0203987E-4
				3)	tari	2213	14148	7.2150535E-5
				4)	targ	2734	10018	5.108878E-5
				5)	tare	8414	605	3.0853175E-6
				6)	tarv	8917	493	2.5141514E-6
				7)	tar_	9268	431	2.1979702E-6
				8)	tarc	9895	338	1.7236981E-6
				9)	tard	11098	221	1.1270333E-6
				10)	tark	11212	212	1.0811361E-6
			8)	tag	0	0	0.0
				1)	tage	1374	24415	1.2450914E-4
				2)	tagn	9226	438	2.233668E-6
				3)	tago	9769	354	1.8052933E-6
				4)	tagg	10533	266	1.3565198E-6
				5)	tagi	10735	249	1.2698249E-6
			9)	tac	0	0	0.0
				1)	tack	2254	13840	7.057983E-5
				2)	tact	3824	5323	2.7145696E-5
				3)	tacl	4350	3988	2.0337598E-5
				4)	tach	4568	3450	1.759396E-5
				5)	tacu	10181	304	1.5503084E-6
			10)	tas	0	0	0.0
				1)	task	2653	10563	5.3868116E-5
				2)	tas_	4978	2760	1.4075168E-5
				3)	tast	5618	2021	1.030649E-5
				4)	tasi	8880	501	2.5549489E-6
			11)	tax	0	0	0.0
				1)	tax_	2674	10395	5.3011365E-5
				2)	taxa	4538	3535	1.8027435E-5
				3)	taxe	4823	2989	1.5242999E-5
				4)	taxp	5025	2689	1.3713089E-5
				5)	taxi	11097	221	1.1270333E-6
			12)	taf	0	0	0.0
				1)	taff	4031	4807	2.4514251E-5
			13)	tay	0	0	0.0
				1)	tay_	5834	1845	9.408944E-6
				2)	tayi	9806	349	1.7797948E-6
			14)	tam	0	0	0.0
				1)	tami	6022	1682	8.577693E-6
				2)	tamp	8187	663	3.3811002E-6
				3)	tamo	9881	339	1.7287978E-6
			15)	tap	0	0	0.0
				1)	tape	7025	1089	5.5535716E-6
			16)	tau	0	0	0.0
				1)	taug	8851	508	2.5906468E-6
				2)	taur	10510	269	1.3718189E-6
		5)	tu	0	0	0.0
			1)	tur	0	0	0.0
				1)	ture	162	102553	5.229894E-4
				2)	tura	765	41583	2.1206077E-4
				3)	turn	1652	20299	1.0351878E-4
				4)	turi	3997	4895	2.4963025E-5
				5)	tury	4708	3175	1.6191543E-5
				6)	turb	6248	1514	7.720943E-6
				7)	turk	7681	821	4.1868525E-6
			2)	tua	0	0	0.0
				1)	tuat	662	45300	2.3101634E-4
				2)	tual	1187	28639	1.4605027E-4
			3)	tut	0	0	0.0
				1)	tuti	784	41032	2.0925084E-4
				2)	tute	3177	7647	3.8997394E-5
				3)	tuto	9052	468	2.386659E-6
			4)	tun	0	0	0.0
				1)	tuni	1278	26584	1.3557039E-4
				2)	tuna	2128	14792	7.543474E-5
				3)	tune	6652	1280	6.527614E-6
				4)	tunn	7738	805	4.105257E-6
			5)	tul	0	0	0.0
				1)	tula	2211	14157	7.219643E-5
			6)	tud	0	0	0.0
				1)	tude	3002	8493	4.331174E-5
				2)	tudy	3790	5418	2.7630167E-5
				3)	tudi	4684	3217	1.6405731E-5
			7)	tus	0	0	0.0
				1)	tus_	3191	7597	3.874241E-5
			8)	tue	0	0	0.0
				1)	tuen	5294	2334	1.1902696E-5
				2)	tue_	8504	583	2.9731243E-6
				3)	tues	10634	256	1.3055228E-6
			9)	tuf	0	0	0.0
				1)	tuff	5903	1799	9.174358E-6
			10)	tum	0	0	0.0
				1)	tumn	6989	1109	5.6555655E-6
				2)	tum_	7235	997	5.0843996E-6
				3)	tumb	11134	218	1.1117343E-6
			11)	tub	0	0	0.0
				1)	tube	8901	497	2.5345503E-6
				2)	tubb	10966	231	1.1780304E-6
			12)	tup	0	0	0.0
				1)	tupi	9347	417	2.1265744E-6
				2)	tup_	9648	371	1.8919882E-6
			13)	tuc	0	0	0.0
				1)	tuck	9804	350	1.7848945E-6
			14)	tuo	0	0	0.0
				1)	tuou	10167	306	1.5605077E-6
		6)	tl	0	0	0.0
			1)	tly	0	0	0.0
				1)	tly_	174	98243	5.010097E-4
			2)	tle	0	0	0.0
				1)	tlem	1072	31775	1.6204292E-4
				2)	tle_	2481	11833	6.0344733E-5
				3)	tled	4345	3996	2.0378395E-5
				4)	tles	5195	2460	1.2545259E-5
				5)	tlet	10237	299	1.5248098E-6
				6)	tlen	10456	274	1.3973174E-6
			3)	tli	0	0	0.0
				1)	tlin	4270	4201	2.1423833E-5
			4)	tla	0	0	0.0
				1)	tlan	5602	2029	1.03472885E-5
				2)	tlaw	11132	219	1.116834E-6
			5)	tlo	0	0	0.0
				1)	tloo	8972	482	2.4580547E-6
		7)	tr	0	0	0.0
			1)	tri	0	0	0.0
				1)	trie	194	93898	4.788515E-4
				2)	trib	1039	32586	1.6617878E-4
				3)	tric	1567	21471	1.09495624E-4
				4)	tria	2626	10777	5.495945E-5
				5)	trik	4744	3127	1.5946758E-5
				6)	trin	5365	2257	1.1510019E-5
				7)	trim	5605	2027	1.0337089E-5
				8)	triv	5700	1961	1.0000509E-5
				9)	trip	6557	1324	6.752001E-6
				10)	trig	6919	1143	5.8289556E-6
				11)	trit	7471	902	4.599928E-6
				12)	trio	8869	504	2.5702482E-6
				13)	triu	9944	332	1.6930999E-6
				14)	tril	10163	307	1.5656075E-6
				15)	trid	10946	232	1.18313E-6
			2)	try	0	0	0.0
				1)	try_	328	68201	3.4780454E-4
				2)	tryi	3557	6155	3.1388645E-5
				3)	trys	4959	2787	1.421286E-5
				4)	try’	8648	552	2.8150337E-6
				5)	trym	10758	247	1.2596255E-6
			3)	tra	0	0	0.0
				1)	tran	357	64624	3.2956293E-4
				2)	trat	415	60409	3.0806768E-4
				3)	trad	883	37548	1.9148349E-4
				4)	trai	1992	16175	8.2487626E-5
				5)	trac	2125	14810	7.5526536E-5
				6)	tral	2785	9620	4.90591E-5
				7)	traf	3005	8490	4.329644E-5
				8)	trav	3510	6300	3.21281E-5
				9)	trar	3596	6048	3.0842977E-5
				10)	trag	3688	5718	2.9160075E-5
				11)	tra_	5489	2135	1.0887857E-5
				12)	trao	5645	1999	1.0194298E-5
				13)	tras	6334	1461	7.4506597E-6
				14)	trap	6470	1382	7.0477836E-6
				15)	tray	7937	744	3.7941757E-6
				16)	tram	9402	410	2.0908765E-6
				17)	traw	9707	362	1.8460909E-6
				18)	trau	10219	301	1.5350092E-6
				19)	trab	10684	253	1.2902237E-6
				20)	traj	11281	207	1.0556377E-6
			4)	tru	0	0	0.0
				1)	truc	758	41803	2.1318269E-4
				2)	trum	1938	16982	8.660308E-5
				3)	true	2645	10619	5.4153697E-5
				4)	trus	3475	6447	3.2877757E-5
				5)	trul	4455	3743	1.9088171E-5
				6)	trut	4741	3131	1.5967156E-5
				7)	trug	5407	2213	1.1285633E-5
			5)	tro	0	0	0.0
				1)	trol	1563	21499	1.0963842E-4
				2)	tron	1594	21122	1.0771583E-4
				3)	trod	1746	19045	9.712376E-5
				4)	troy	4627	3326	1.6961598E-5
				5)	trou	5096	2597	1.3243917E-5
				6)	trov	5483	2139	1.0908255E-5
				7)	trop	5896	1806	9.210055E-6
				8)	troo	6167	1572	8.0167265E-6
				9)	troc	8302	635	3.2383086E-6
				10)	troi	9218	440	2.2438674E-6
				11)	trog	9615	377	1.9225863E-6
				12)	tros	10734	249	1.2698249E-6
				13)	trom	11155	217	1.1066346E-6
			6)	tre	0	0	0.0
				1)	trea	1583	21204	1.0813401E-4
				2)	tren	1682	19913	1.015503E-4
				3)	trem	1889	17493	8.9209025E-5
				4)	tres	2180	14379	7.332856E-5
				5)	tre_	4537	3535	1.8027435E-5
				6)	trep	5635	2006	1.02299955E-5
				7)	tree	5757	1908	9.7302245E-6
				8)	tred	7312	964	4.9161094E-6
				9)	tret	8600	561	2.8609309E-6
				10)	trel	10347	287	1.4636134E-6
		8)	tt	0	0	0.0
			1)	tte	0	0	0.0
				1)	tter	313	70159	3.5778974E-4
				2)	tten	1320	25443	1.2975163E-4
				3)	ttee	1823	18128	9.2447335E-5
				4)	tted	2110	14927	7.61232E-5
				5)	ttem	3059	8192	4.177673E-5
				6)	ttes	8406	606	3.0904173E-6
				7)	tte_	9768	354	1.8052933E-6
			2)	tti	0	0	0.0
				1)	ttin	1294	26086	1.3303074E-4
				2)	ttit	4082	4650	2.3713597E-5
				3)	ttim	8413	605	3.0853175E-6
			3)	ttl	0	0	0.0
				1)	ttle	2169	14486	7.387423E-5
				2)	ttli	9326	422	2.1520727E-6
			4)	tta	0	0	0.0
				1)	ttac	2705	10204	5.2037325E-5
				2)	ttab	4981	2751	1.40292705E-5
				3)	ttai	6981	1112	5.670865E-6
			5)	ttr	0	0	0.0
				1)	ttra	4903	2864	1.4605536E-5
				2)	ttri	7585	858	4.3755413E-6
			6)	tto	0	0	0.0
				1)	ttom	7158	1029	5.24759E-6
				2)	tton	8455	595	3.0343206E-6
				3)	tto_	9789	352	1.7950939E-6
			7)	tty	0	0	0.0
				1)	tty_	7764	797	4.0644595E-6
		9)	tw	0	0	0.0
			1)	twe	0	0	0.0
				1)	twee	434	59197	3.0188684E-4
				2)	twen	6902	1151	5.869753E-6
				3)	twei	10661	254	1.2953234E-6
				4)	twea	11012	227	1.1576316E-6
			2)	two	0	0	0.0
				1)	twor	2858	9208	4.6958023E-5
				2)	twot	8993	479	2.4427557E-6
				3)	two_	9421	407	2.0755774E-6
				4)	twos	9591	381	1.9429851E-6
				5)	twof	9943	332	1.6930999E-6
				6)	twow	11210	212	1.0811361E-6
			3)	twa	0	0	0.0
				1)	twar	6433	1403	7.154877E-6
			4)	twi	0	0	0.0
				1)	twin	6698	1255	6.4001215E-6
				2)	twic	7041	1081	5.5127744E-6
				3)	twit	8855	507	2.5855472E-6
		10)	to	0	0	0.0
			1)	tod	0	0	0.0
				1)	toda	721	43064	2.1961342E-4
				2)	tody	10604	259	1.320822E-6
			2)	tor	0	0	0.0
				1)	tor_	838	39123	1.995155E-4
				2)	tors	1074	31702	1.6167064E-4
				3)	tory	1204	28108	1.4334233E-4
				4)	tori	1452	23188	1.1825181E-4
				5)	tora	3608	6000	3.0598192E-5
				6)	tort	4029	4808	2.4519351E-5
				7)	tore	4062	4694	2.3937984E-5
				8)	torm	7778	792	4.0389614E-6
				9)	torw	8861	505	2.5753477E-6
				10)	torc	10388	283	1.4432147E-6
				11)	torn	10551	264	1.3463205E-6
			3)	too	0	0	0.0
				1)	too_	942	35563	1.8136058E-4
				2)	took	3302	7121	3.6314952E-5
				3)	tool	4077	4664	2.3784994E-5
				4)	tood	4662	3275	1.6701513E-5
				5)	toot	11331	202	1.0301391E-6
			4)	tog	0	0	0.0
				1)	toge	1734	19196	9.789381E-5
				2)	togr	9669	368	1.8766891E-6
			5)	tot	0	0	0.0
				1)	tota	2604	10958	5.5882498E-5
			6)	tom	0	0	0.0
				1)	tomo	2666	10494	5.3516236E-5
				2)	toms	4647	3298	1.6818805E-5
				3)	toma	5094	2598	1.3249017E-5
				4)	tome	6437	1401	7.1446775E-6
				5)	tom_	6965	1119	5.7065627E-6
				6)	tomi	10368	285	1.453414E-6
			7)	top	0	0	0.0
				1)	top_	2953	8743	4.4586664E-5
				2)	topi	4188	4384	2.2357079E-5
				3)	topp	6082	1641	8.368605E-6
				4)	tops	9415	409	2.0857767E-6
			8)	toc	0	0	0.0
				1)	tock	3642	5893	3.0052524E-5
				2)	toco	5285	2345	1.1958793E-5
				3)	tocr	10369	285	1.453414E-6
			9)	tou	0	0	0.0
				1)	tour	3759	5534	2.8221732E-5
				2)	touc	5187	2469	1.2591156E-5
				3)	toug	6036	1674	8.536896E-6
				4)	tout	7501	889	4.533632E-6
				5)	tous	9688	365	1.8613899E-6
			10)	tol	0	0	0.0
				1)	tole	4125	4549	2.3198529E-5
				2)	told	4321	4062	2.0714975E-5
				3)	tolo	6819	1190	6.068641E-6
				4)	toll	8048	707	3.6054869E-6
			11)	tob	0	0	0.0
				1)	toba	4734	3143	1.6028353E-5
			12)	ton	0	0	0.0
				1)	tone	4885	2899	1.47840265E-5
				2)	toni	5277	2355	1.200979E-5
				3)	tonn	5455	2159	1.1010249E-5
				4)	tono	5591	2038	1.0393185E-5
				5)	ton_	7958	735	3.7482785E-6
				6)	tong	8471	591	3.0139217E-6
			13)	tow	0	0	0.0
				1)	town	5707	1958	9.9852095E-6
				2)	towa	9993	325	1.657402E-6
				3)	towe	10590	260	1.3259216E-6
			14)	tox	0	0	0.0
				1)	toxi	6934	1132	5.772859E-6
			15)	toy	0	0	0.0
				1)	toys	7748	802	4.089958E-6
				2)	toy_	10967	231	1.1780304E-6
			16)	tos	0	0	0.0
				1)	tos_	8799	518	2.641644E-6
			17)	toe	0	0	0.0
				1)	toes	9403	410	2.0908765E-6
			18)	tok	0	0	0.0
				1)	toke	9754	356	1.8154927E-6
		11)	tm	0	0	0.0
			1)	tme	0	0	0.0
				1)	tmen	748	42098	2.1468711E-4
			2)	tmo	0	0	0.0
				1)	tmos	4818	3003	1.5314396E-5
			3)	tma	0	0	0.0
				1)	tmar	10422	279	1.4228159E-6
		12)	tn	0	0	0.0
			1)	tne	0	0	0.0
				1)	tner	1883	17534	8.9418114E-5
				2)	tnes	4716	3163	1.6130347E-5
		13)	ts	0	0	0.0
			1)	tse	0	0	0.0
				1)	tsel	1923	17046	8.692946E-5
				2)	tses	5563	2072	1.0566576E-5
				3)	tset	6141	1589	8.103421E-6
			2)	tsi	0	0	0.0
				1)	tsid	3284	7193	3.6682133E-5
				2)	tsig	9775	353	1.8001936E-6
			3)	tst	0	0	0.0
				1)	tsta	5787	1888	9.628231E-6
			4)	tso	0	0	0.0
				1)	tsoe	6535	1335	6.8080976E-6
			5)	tsm	0	0	0.0
				1)	tsma	6942	1128	5.75246E-6
				2)	tsme	10087	315	1.606405E-6
			6)	tsu	0	0	0.0
				1)	tsun	9422	407	2.0755774E-6
			7)	ts’	0	0	0.0
				1)	ts’_	9649	371	1.8919882E-6
		14)	ty	0	0	0.0
			1)	typ	0	0	0.0
				1)	type	3086	8071	4.1159667E-5
				2)	typi	6883	1163	5.9309496E-6
			2)	tyl	0	0	0.0
				1)	tyle	7333	953	4.8600127E-6
			3)	tyf	0	0	0.0
				1)	tyfi	7979	729	3.7176803E-6
				2)	tyfr	8332	625	3.1873117E-6
			4)	tyr	0	0	0.0
				1)	tyre	8616	557	2.840532E-6
				2)	tyra	9680	366	1.8664897E-6
			5)	tys	0	0	0.0
				1)	tys_	8750	528	2.692641E-6
			6)	tyb	0	0	0.0
				1)	tyba	11101	220	1.1219337E-6
		15)	tc	0	0	0.0
			1)	tco	0	0	0.0
				1)	tcom	3268	7250	3.6972815E-5
			2)	tch	0	0	0.0
				1)	tch_	4293	4153	2.1179048E-5
				2)	tche	5102	2589	1.3203119E-5
				3)	tchi	6542	1333	6.797898E-6
				4)	tchw	10625	257	1.3106226E-6
			3)	tcy	0	0	0.0
				1)	tcy_	9690	364	1.8562903E-6
		16)	tp	0	0	0.0
			1)	tpo	0	0	0.0
				1)	tpon	5148	2529	1.2897138E-5
			2)	tpu	0	0	0.0
				1)	tput	9666	369	1.8817888E-6
			3)	tpl	0	0	0.0
				1)	tpla	10635	256	1.3055228E-6
		17)	tf	0	0	0.0
			1)	tfu	0	0	0.0
				1)	tful	5470	2149	1.0959252E-5
			2)	tfo	0	0	0.0
				1)	tfor	5920	1784	9.097862E-6
				2)	tfol	8628	555	2.8303327E-6
			3)	tfa	0	0	0.0
				1)	tfal	9536	390	1.9888823E-6
			4)	tfe	0	0	0.0
				1)	tfel	9894	338	1.7236981E-6
		18)	tb	0	0	0.0
			1)	tba	0	0	0.0
				1)	tbal	6927	1138	5.803457E-6
				2)	tbac	8397	607	3.095517E-6
				3)	tbas	10241	298	1.5197102E-6
			2)	tbr	0	0	0.0
				1)	tbre	7465	904	4.6101277E-6
			3)	tbe	0	0	0.0
				1)	tben	10194	303	1.5452086E-6
		19)	t’	0	0	0.0
			1)	t’s	0	0	0.0
				1)	t’s_	8526	578	2.9476257E-6
		20)	td	0	0	0.0
			1)	tda	0	0	0.0
				1)	tdat	9605	379	1.9327858E-6
			2)	tde	0	0	0.0
