Italian	4	205693006	11141
				11)	_dap	7141	1223	3.5709913E-6
				12)	_das	7757	913	2.6658342E-6
				13)	_dam	8088	767	2.2395343E-6
				14)	_dau	8106	762	2.2249349E-6
				15)	_daf	9261	442	1.2905791E-6
			4)	_do	0	0	0.0
				1)	_dov	312	116641	3.4057564E-4
				2)	_dob	696	65586	1.9150208E-4
				3)	_dom	1392	34923	1.0197035E-4
				4)	_don	1575	30462	8.894484E-5
				5)	_dop	1577	30420	8.8822206E-5
				6)	_doc	2426	16603	4.8478472E-5
				7)	_dot	3747	7353	2.1469747E-5
				8)	_dog	4621	4496	1.31277E-5
				9)	_dol	4649	4431	1.293791E-5
				10)	_dor	4975	3635	1.0613699E-5
				11)	_dos	6268	1832	5.3491876E-6
				12)	_dod	7146	1222	3.5680716E-6
				13)	_do_	7868	865	2.5256807E-6
				14)	_doz	11053	207	6.0441147E-7
			5)	_du	0	0	0.0
				1)	_due	1145	43444	1.2685049E-4
				2)	_dur	1923	23679	6.9139416E-5
				3)	_dun	2911	12336	3.601942E-5
				4)	_dub	2960	11997	3.5029585E-5
				5)	_dup	6575	1581	4.6163022E-6
				6)	_dum	7651	963	2.8118272E-6
				7)	_dut	9658	373	1.0891085E-6
				8)	_dus	9721	363	1.05991E-6
				9)	_duo	10343	279	8.146415E-7
			6)	_d’	0	0	0.0
				1)	_d’a	4147	5845	1.7066594E-5
				2)	_d’i	5565	2633	7.687997E-6
				3)	_d’e	6703	1472	4.298037E-6
				4)	_d’o	6827	1390	4.0586083E-6
				5)	_d’u	10612	249	7.270457E-7
			7)	_dr	0	0	0.0
				1)	_dra	4603	4541	1.3259094E-5
				2)	_dro	5065	3436	1.0032646E-5
			8)	_dà	0	0	0.0
				1)	_dà_	5524	2698	7.877788E-6
			9)	_dx	0	0	0.0
				1)	_dxb	8929	517	1.5095687E-6
		2)	_c	0	0	0.0
			1)	_ch	0	0	0.0
				1)	_che	7	1184623	0.0034589358
				2)	_chi	221	144484	4.2187335E-4
				3)	_cha	9838	348	1.016112E-6
			2)	_co	0	0	0.0
				1)	_con	9	1092315	0.0031894092
				2)	_com	27	594494	0.0017358406
				3)	_cos	164	169843	4.9591815E-4
				4)	_col	272	125548	3.6658286E-4
				5)	_cor	773	60228	1.7585745E-4
				6)	_coo	1067	46252	1.3504946E-4
				7)	_coe	2165	20104	5.870091E-5
				8)	_coi	2575	15086	4.404904E-5
				9)	_cod	3672	7689	2.245082E-5
				10)	_cop	3977	6440	1.8803912E-5
				11)	_cog	4848	3889	1.1355344E-5
				12)	_coa	6377	1738	5.0747203E-6
				13)	_cof	6557	1590	4.6425807E-6
				14)	_cot	8869	536	1.5650461E-6
				15)	_coc	9955	332	9.693943E-7
			3)	_cu	0	0	0.0
				1)	_cui	302	118345	3.455511E-4
				2)	_cul	2297	18265	5.333128E-5
				3)	_cur	3921	6624	1.9341167E-5
				4)	_cuo	4866	3848	1.1235629E-5
				5)	_cub	7462	1043	3.0454162E-6
				6)	_cus	7576	989	2.8877437E-6
				7)	_cuc	10551	256	7.474847E-7
				8)	_cum	10640	247	7.2120594E-7
			4)	_cr	0	0	0.0
				1)	_cre	335	111286	3.2493979E-4
				2)	_cri	740	62571	1.826987E-4
				3)	_cru	4229	5598	1.6345388E-5
				4)	_cro	5271	3058	8.928939E-6
			5)	_ci	0	0	0.0
				1)	_ci_	463	88707	2.5901222E-4
				2)	_cit	567	75690	2.2100436E-4
				3)	_ciò	823	57086	1.6668325E-4
				4)	_cir	1748	26693	7.793988E-5
				5)	_civ	2571	15124	4.4159995E-5
				6)	_cin	2802	13181	3.84867E-5
				7)	_cio	3238	10294	3.0057061E-5
				8)	_cia	4094	6018	1.757173E-5
				9)	_cif	4872	3838	1.1206431E-5
				10)	_cic	5743	2362	6.8967142E-6
				11)	_cie	6422	1703	4.9725254E-6
				12)	_cib	6599	1557	4.5462252E-6
				13)	_cip	8079	770	2.2482939E-6
				14)	_cim	9083	480	1.4015338E-6
				15)	_cil	10135	308	8.993175E-7
			6)	_ce	0	0	0.0
				1)	_cer	747	62111	1.8135556E-4
				2)	_cen	991	49254	1.4381489E-4
				3)	_cel	4730	4181	1.2207944E-5
				4)	_cec	4985	3607	1.0531942E-5
				5)	_ces	5505	2725	7.956624E-6
				6)	_ce_	6035	2055	6.0003167E-6
				7)	_ced	6642	1516	4.426511E-6
				8)	_cet	10211	298	8.701189E-7
				9)	_cem	10770	234	6.832477E-7
			7)	_ca	0	0	0.0
				1)	_cas	863	55089	1.6085229E-4
				2)	_cam	885	53904	1.5739225E-4
				3)	_car	976	50081	1.4622962E-4
				4)	_cap	1155	43053	1.2570883E-4
				5)	_cau	1754	26537	7.748438E-5
				6)	_can	2041	21703	6.336977E-5
				7)	_cat	2380	17172	5.013987E-5
				8)	_cal	2714	13846	4.042841E-5
				9)	_cad	5387	2897	8.458841E-6
				10)	_cac	6746	1443	4.213361E-6
				11)	_cav	7652	963	2.8118272E-6
				12)	_cao	8200	728	2.1256596E-6
				13)	_cab	9077	481	1.4044537E-6
				14)	_caf	10341	280	8.175614E-7
			8)	_cl	0	0	0.0
				1)	_cli	2540	15452	4.511771E-5
				2)	_cla	3071	11318	3.3047E-5
				3)	_clo	6888	1350	3.9418137E-6
				4)	_clu	9334	428	1.249701E-6
				5)	_cle	10796	232	6.77408E-7
			9)	_cè	0	0	0.0
				1)	_cè_	3114	11054	3.2276155E-5
			10)	_c’	0	0	0.0
				1)	_c’è	5598	2591	7.565363E-6
				2)	_c’e	10978	214	6.248505E-7
			11)	_cs	0	0	0.0
				1)	_cs_	8730	575	1.6789207E-6
		3)	_l	0	0	0.0
			1)	_la	0	0	0.0
				1)	_la_	8	1094939	0.003197071
				2)	_lav	329	112893	3.29632E-4
				3)	_lat	1651	28318	8.268466E-5
				4)	_las	1976	22730	6.636847E-5
				5)	_lac	2232	19255	5.6221947E-5
				6)	_lam	2670	14169	4.1371528E-5
				7)	_lap	2838	12837	3.748227E-5
				8)	_lar	2840	12833	3.7470592E-5
				9)	_lan	2961	11994	3.5020825E-5
				10)	_lal	3107	11085	3.236667E-5
				11)	_lad	3213	10398	3.0360727E-5
				12)	_lau	3506	8568	2.5017378E-5
				13)	_lag	3673	7686	2.244206E-5
				14)	_lab	4352	5154	1.50489695E-5
				15)	_laz	5439	2818	8.228171E-6
				16)	_laf	5728	2386	6.9667913E-6
				17)	_lai	5849	2263	6.607648E-6
				18)	_lae	10253	292	8.525997E-7
			2)	_le	0	0	0.0
				1)	_le_	42	433268	0.0012650829
				2)	_leg	600	72951	2.1300686E-4
				3)	_lei	1679	27790	8.114297E-5
				4)	_leu	2040	21732	6.345444E-5
				5)	_les	2261	18928	5.526715E-5
				6)	_let	2461	16194	4.7284248E-5
				7)	_len	3452	8882	2.5934216E-5
				8)	_lem	3733	7405	2.162158E-5
				9)	_lec	3932	6569	1.9180574E-5
				10)	_lea	4175	5752	1.6795047E-5
				11)	_lef	4318	5273	1.5396434E-5
				12)	_lel	4616	4507	1.3159819E-5
				13)	_lev	5338	2970	8.67199E-6
				14)	_lez	6189	1901	5.550658E-6
				15)	_leq	6489	1645	4.8031734E-6
				16)	_ler	7206	1190	3.4746358E-6
				17)	_led	7781	901	2.6307957E-6
				18)	_lex	8223	719	2.099381E-6
				19)	_lep	9488	404	1.1796243E-6
			3)	_lo	0	0	0.0
				1)	_lor	438	92165	2.691091E-4
				2)	_lo_	472	86824	2.5351412E-4
				3)	_lon	1690	27677	8.081303E-5
				4)	_lot	1895	24199	7.065774E-5
				5)	_loc	2079	21118	6.1661645E-5
				6)	_lob	3020	11607	3.389084E-5
				7)	_lop	3495	8600	2.5110814E-5
				8)	_log	4294	5349	1.5618343E-5
				9)	_lod	5896	2217	6.4733345E-6
				10)	_los	6805	1407	4.1082462E-6
				11)	_lom	7325	1126	3.2877647E-6
				12)	_lol	8711	580	1.6935201E-6
				13)	_lof	8764	565	1.6497221E-6
			4)	_li	0	0	0.0
				1)	_lin	581	74737	2.1822174E-4
				2)	_lib	877	54373	1.5876166E-4
				3)	_liv	937	51503	1.5038166E-4
				4)	_lim	955	50818	1.4838156E-4
				5)	_lie	3111	11070	3.2322874E-5
				6)	_lis	3408	9136	2.667586E-5
				7)	_li_	4116	5932	1.7320623E-5
				8)	_lid	4533	4685	1.3679554E-5
				9)	_lir	4906	3762	1.0984521E-5
				10)	_lic	5380	2908	8.490959E-6
				11)	_lit	5589	2601	7.5945613E-6
				12)	_liq	6669	1497	4.371034E-6
				13)	_lip	8816	549	1.6030043E-6
				14)	_lig	10340	280	8.175614E-7
				15)	_lil	10660	245	7.1536624E-7
			5)	_lu	0	0	0.0
				1)	_lun	590	73923	2.1584496E-4
				2)	_luo	1536	31208	9.112306E-5
				3)	_luc	3132	10897	3.1817737E-5
				4)	_lue	4222	5623	1.6418386E-5
				5)	_lus	4598	4553	1.3294132E-5
				6)	_lug	4626	4485	1.3095581E-5
				7)	_lul	4994	3588	1.0476465E-5
				8)	_lui	5046	3477	1.0152361E-5
				9)	_lut	5609	2567	7.495286E-6
				10)	_luf	7438	1055	3.0804545E-6
				11)	_lum	7731	923	2.6950327E-6
				12)	_lur	8006	798	2.33005E-6
				13)	_lup	11003	211	6.160909E-7
			6)	_l’	0	0	0.0
				1)	_l’a	1514	31762	9.274066E-5
				2)	_l’i	2039	21743	6.3486565E-5
				3)	_l’e	2208	19511	5.696943E-5
				4)	_l’u	2306	18126	5.292542E-5
				5)	_l’o	2444	16420	4.7944137E-5
				6)	_l’_	6857	1373	4.008971E-6
				7)	_l’h	8292	698	2.0380637E-6
			7)	_là	0	0	0.0
				1)	_là_	4904	3769	1.10049605E-5
			8)	_lx	0	0	0.0
				1)	_lxb	5106	3361	9.813657E-6
			9)	_lh	0	0	0.0
				1)	_lha	6110	1984	5.7930065E-6
				2)	_lho	7517	1018	2.9724197E-6
				3)	_lhi	10977	214	6.248505E-7
			10)	_lì	0	0	0.0
				1)	_lì_	7562	999	2.9169423E-6
			11)	_lt	0	0	0.0
				1)	_lt_	9199	455	1.3285372E-6
		4)	_p	0	0	0.0
			1)	_pe	0	0	0.0
				1)	_per	11	1060540	0.0030966306
				2)	_pen	1035	47482	1.386409E-4
				3)	_pes	1434	33815	9.873514E-5
				4)	_pet	3703	7509	2.1925245E-5
				5)	_peg	4355	5149	1.503437E-5
				6)	_pec	5527	2697	7.874868E-6
				7)	_ped	6351	1765	5.1535567E-6
				8)	_pel	7943	827	2.414726E-6
				9)	_pez	8070	772	2.2541335E-6
			2)	_pr	0	0	0.0
				1)	_pro	20	730718	0.0021335958
				2)	_pre	54	365147	0.0010661789
				3)	_pri	153	176326	5.1484763E-4
				4)	_pra	1945	23306	6.805031E-5
				5)	_pru	6617	1545	4.511187E-6
			3)	_pa	0	0	0.0
				1)	_par	59	346556	0.0010118957
				2)	_pae	238	136852	3.99589E-4
				3)	_pas	1053	46850	1.3679554E-4
				4)	_pac	1777	26111	7.624052E-5
				5)	_pag	2635	14475	4.2265005E-5
				6)	_pat	3212	10406	3.0384086E-5
				7)	_pal	3421	9061	2.6456872E-5
				8)	_paz	4650	4430	1.2934989E-5
				9)	_pan	5187	3202	9.349398E-6
				10)	_pau	5901	2215	6.4674946E-6
				11)	_pai	6611	1548	4.5199467E-6
				12)	_pad	6702	1472	4.298037E-6
				13)	_pak	9427	412	1.2029832E-6
				14)	_pap	10958	216	6.3069024E-7
			4)	_po	0	0	0.0
				1)	_pos	89	249196	7.2761794E-4
				2)	_pol	174	166057	4.8486356E-4
				3)	_pot	354	106832	3.119347E-4
				4)	_por	965	50637	1.4785306E-4
				5)	_poi	1286	37797	1.1036203E-4
				6)	_pop	1404	34540	1.0085204E-4
				7)	_poc	2274	18707	5.462186E-5
				8)	_pov	2617	14663	4.281394E-5
				9)	_pon	3555	8336	2.433997E-5
				10)	_po_	4837	3919	1.14429395E-5
				11)	_pom	5708	2414	7.048547E-6
				12)	_po’	7967	815	2.3796877E-6
				13)	_pog	8384	670	1.9563076E-6
				14)	_poe	10565	254	7.41645E-7
			5)	_pi	0	0	0.0
				1)	_più	136	186417	5.4431194E-4
				2)	_pia	1457	33247	9.7076656E-5
				3)	_pie	2067	21310	6.2222265E-5
				4)	_pic	2361	17439	5.0919476E-5
				5)	_piu	3390	9205	2.6877331E-5
				6)	_pil	4161	5791	1.6908922E-5
				7)	_pio	7177	1204	3.515514E-6
				8)	_pir	7442	1052	3.071695E-6
				9)	_pis	9741	360	1.0511503E-6
			6)	_pu	0	0	0.0
				1)	_pun	752	61937	1.808475E-4
				2)	_può	904	52786	1.5412785E-4
				3)	_pub	1019	48263	1.409213E-4
				4)	_pur	1746	26702	7.796616E-5
				5)	_pul	5613	2565	7.4894465E-6
				6)	_pug	10919	220	6.423697E-7
			7)	_pl	0	0	0.0
				1)	_plu	4765	4091	1.1945156E-5
				2)	_ple	4887	3795	1.1080877E-5
				3)	_pla	5548	2661	7.769753E-6
				4)	_pl_	5705	2419	7.0631463E-6
			8)	_ps	0	0	0.0
				1)	_psi	7208	1189	3.4717161E-6
				2)	_pse	11001	211	6.160909E-7
			9)	_pt	0	0	0.0
				1)	_pt_	7471	1039	3.0337367E-6
			10)	_pò	0	0	0.0
				1)	_pò_	7762	911	2.6599944E-6
			11)	_pn	0	0	0.0
				1)	_pne	9664	372	1.0861887E-6
		5)	_i	0	0	0.0
			1)	_in	0	0	0.0
				1)	_in_	15	888956	0.002595629
				2)	_int	84	265478	7.7515916E-4
				3)	_inf	428	92994	2.7152966E-4
				4)	_ind	492	84033	2.4536476E-4
				5)	_inc	628	70505	2.0586488E-4
				6)	_inv	700	65176	1.9030494E-4
				7)	_ins	1004	48772	1.4240752E-4
				8)	_ino	1073	45975	1.3424066E-4
				9)	_ini	1402	34583	1.00977595E-4
				10)	_inn	1887	24306	7.097017E-5
				11)	_ina	2843	12805	3.7388836E-5
				12)	_ing	3060	11383	3.323679E-5
				13)	_ine	3591	8166	2.3843595E-5
				14)	_inq	4270	5446	1.5901569E-5
				15)	_inu	4862	3852	1.1247309E-5
			2)	_il	0	0	0.0
				1)	_il_	17	884745	0.0025833335
				2)	_ill	2697	13950	4.0732077E-5
			3)	_im	0	0	0.0
				1)	_imp	104	220884	6.4495084E-4
				2)	_imm	1963	22986	6.711595E-5
				3)	_imb	4933	3711	1.0835608E-5
				4)	_imi	10768	234	6.832477E-7
			4)	_is	0	0	0.0
				1)	_ist	1300	37404	1.09214525E-4
				2)	_isc	2724	13802	4.0299936E-5
				3)	_isp	4624	4489	1.3107261E-5
				4)	_iso	4846	3902	1.1393302E-5
				5)	_isr	5060	3447	1.0064765E-5
				6)	_isl	5998	2099	6.1287906E-6
			5)	_io	0	0	0.0
				1)	_io_	2397	16956	4.950918E-5
			6)	_id	0	0	0.0
				1)	_ide	2534	15511	4.528998E-5
				2)	_idr	5604	2583	7.542004E-6
				3)	_ido	7196	1197	3.495075E-6
			7)	_ir	0	0	0.0
				1)	_irr	3618	8031	2.3449413E-5
				2)	_irl	4286	5375	1.5694259E-5
				3)	_ira	5155	3269	9.54503E-6
				4)	_iro	10026	323	9.431155E-7
			8)	_ie	0	0	0.0
				1)	_ier	4035	6236	1.820826E-5
			9)	_ig	0	0	0.0
				1)	_ign	4373	5113	1.49292555E-5
				2)	_igi	8638	598	1.7460776E-6
			10)	_it	0	0	0.0
				1)	_ita	4628	4483	1.30897415E-5
				2)	_itt	6332	1778	5.191515E-6
				3)	_ite	9931	335	9.781538E-7
			11)	_ip	0	0	0.0
				1)	_ipo	5239	3108	9.074932E-6
			12)	_iv	0	0	0.0
				1)	_ivi	7567	995	2.9052628E-6
			13)	_iu	0	0	0.0
				1)	_iug	9494	402	1.1737845E-6
		6)	_q	0	0	0.0
			1)	_qu	0	0	0.0
				1)	_que	24	614239	0.0017934932
				2)	_qua	60	344990	0.0010073233
				3)	_qui	713	64240	1.8757195E-4
				4)	_quo	3182	10623	3.1017695E-5
		7)	_n	0	0	0.0
			1)	_no	0	0	0.0
				1)	_non	30	521114	0.0015215811
				2)	_nos	240	136675	3.9907216E-4
				3)	_noi	992	49218	1.4370978E-4
				4)	_nor	1072	45984	1.3426694E-4
				5)	_nom	1521	31609	9.229392E-5
				6)	_not	1648	28427	8.3002924E-5
				7)	_nov	3832	6965	2.033684E-5
				8)	_no_	4711	4249	1.24064945E-5
				9)	_noc	6195	1895	5.533139E-6
				10)	_noz	7994	803	2.3446494E-6
				11)	_no”	8687	586	1.7110392E-6
				12)	_nod	8688	586	1.7110392E-6
				13)	_nob	8981	502	1.4657708E-6
				14)	_nol	11002	211	6.160909E-7
			2)	_ne	0	0	0.0
				1)	_nel	44	424949	0.0012407925
				2)	_nec	508	82558	2.4105798E-4
				3)	_nei	724	63565	1.8560103E-4
				4)	_neg	751	61948	1.8087962E-4
				5)	_ne_	1658	28212	8.237515E-5
				6)	_nes	2487	16009	4.6744073E-5
				7)	_nem	4493	4802	1.4021178E-5
				8)	_nep	4748	4138	1.208239E-5
				9)	_net	5136	3295	9.620946E-6
				10)	_nea	5981	2113	6.1696687E-6
				11)	_ner	6245	1859	5.4280235E-6
				12)	_neo	6402	1723	5.0309222E-6
				13)	_neu	6499	1636	4.7768945E-6
				14)	_nef	9894	341	9.95673E-7
				15)	_nev	10998	212	6.190108E-7
			3)	_nu	0	0	0.0
				1)	_nuo	493	83884	2.4492972E-4
				2)	_num	1662	28174	8.2264196E-5
				3)	_nuc	3169	10677	3.117537E-5
				4)	_nul	3507	8566	2.5011539E-5
				5)	_nut	4512	4736	1.3828467E-5
				6)	_nud	10811	230	6.715683E-7
			4)	_na	0	0	0.0
				1)	_naz	1088	45511	1.3288585E-4
				2)	_nat	1665	28120	8.2106526E-5
				3)	_nav	3724	7444	2.1735454E-5
				4)	_nas	4259	5484	1.6012524E-5
				5)	_nau	8547	620	1.8103145E-6
				6)	_nan	8933	516	1.5066489E-6
				7)	_nar	9977	329	9.606347E-7
			5)	_né	0	0	0.0
				1)	_né_	2273	18740	5.4718217E-5
			6)	_nn	0	0	0.0
				1)	_nn_	4919	3734	1.0902765E-5
			7)	_ni	0	0	0.0
				1)	_nie	5374	2912	8.502639E-6
				2)	_nit	8982	502	1.4657708E-6
				3)	_nic	9428	412	1.2029832E-6
				4)	_nig	10011	324	9.4603536E-7
			8)	_nl	0	0	0.0
				1)	_nl_	7150	1219	3.5593118E-6
			9)	_nè	0	0	0.0
				1)	_nè_	9047	489	1.4278125E-6
		8)	_u	0	0	0.0
			1)	_un	0	0	0.0
				1)	_un_	34	509676	0.0014881836
				2)	_una	45	415857	0.0012142451
				3)	_uni	804	58137	1.6975202E-4
				4)	_uno	891	53638	1.5661557E-4
				5)	_un’	2413	16822	4.911792E-5
				6)	_une	2766	13450	3.9272145E-5
				7)	_unu	4141	5856	1.7098713E-5
				8)	_ung	5571	2625	7.664638E-6
				9)	_und	8354	678	1.9796664E-6
				10)	_unx	9608	382	1.1153874E-6
			2)	_um	0	0	0.0
				1)	_uma	1135	43720	1.2765637E-4
				2)	_umi	7771	905	2.6424752E-6
			3)	_ul	0	0	0.0
				1)	_ult	1167	42547	1.2423137E-4
			4)	_ut	0	0	0.0
				1)	_uti	1634	28665	8.369785E-5
				2)	_ute	5709	2413	7.045627E-6
				3)	_uto	10923	219	6.394498E-7
			5)	_uo	0	0	0.0
				1)	_uom	3442	8929	2.607145E-5
				2)	_uov	9758	358	1.0453107E-6
			6)	_ur	0	0	0.0
				1)	_urg	3517	8505	2.4833427E-5
				2)	_urb	5540	2677	7.816471E-6
				3)	_ura	9515	398	1.1621051E-6
				4)	_urn	9624	379	1.1066278E-6
			7)	_us	0	0	0.0
				1)	_usa	3630	7954	2.3224584E-5
				2)	_uso	4583	4582	1.3378808E-5
				3)	_usc	5152	3270	9.547949E-6
				4)	_usu	7345	1110	3.241047E-6
				5)	_usi	8127	754	2.201576E-6
				6)	_use	10895	222	6.482094E-7
			8)	_uf	0	0	0.0
				1)	_uff	3926	6607	1.9291529E-5
			9)	_ug	0	0	0.0
				1)	_ugu	5147	3273	9.556708E-6
			10)	_uc	0	0	0.0
				1)	_ucc	5310	3011	8.791705E-6
				2)	_ucr	7444	1050	3.0658553E-6
			11)	_ud	0	0	0.0
				1)	_udi	8043	781	2.2804122E-6
			12)	_ub	0	0	0.0
				1)	_ubi	10101	312	9.1099696E-7
		9)	_a	0	0	0.0
			1)	_al	0	0	0.0
				1)	_all	35	497989	0.0014540593
				2)	_al_	91	244794	7.1476476E-4
				3)	_alt	247	134903	3.9389817E-4
				4)	_alc	529	80181	2.3411747E-4
				5)	_ali	2188	19822	5.7877507E-5
				6)	_alm	3584	8193	2.392243E-5
				7)	_alq	5799	2312	6.7507212E-6
				8)	_alb	6089	2006	5.8572437E-6
				9)	_alz	8338	682	1.991346E-6
				10)	_alg	8601	607	1.7723563E-6
				11)	_alp	9979	328	9.577147E-7
				12)	_ala	10142	307	8.963977E-7
				13)	_ale	11045	208	6.0733134E-7
			2)	_an	0	0	0.0
				1)	_anc	97	233363	6.813878E-4
				2)	_ann	609	72126	2.1059798E-4
				3)	_and	2615	14681	4.2866497E-5
				4)	_anz	2746	13657	3.987656E-5
				5)	_ana	2794	13235	3.8644375E-5
				6)	_ant	2924	12253	3.577707E-5
				7)	_ani	3072	11313	3.30324E-5
				8)	_ang	6875	1358	3.9651727E-6
				9)	_ans	7024	1276	3.7257441E-6
				10)	_ano	8611	603	1.7606769E-6
				11)	_ane	9379	418	1.2205023E-6
			3)	_at	0	0	0.0
				1)	_att	161	171085	4.995446E-4
				2)	_atm	7804	892	2.604517E-6
				3)	_ato	8284	700	2.0439036E-6
				4)	_atr	8438	653	1.9066699E-6
				5)	_atl	8588	610	1.7811159E-6
				6)	_ati	10212	298	8.701189E-7
			4)	_ap	0	0	0.0
				1)	_app	213	147321	4.30157E-4
				2)	_ape	2896	12429	3.6290967E-5
				3)	_apr	3632	7925	2.3139908E-5
				4)	_api	8437	654	1.9095899E-6
				5)	_apo	10736	237	6.9200735E-7
			5)	_ac	0	0	0.0
				1)	_acc	256	131444	3.8379835E-4
				2)	_acq	2659	14232	4.155548E-5
				3)	_acu	7092	1244	3.6323086E-6
				4)	_aci	11019	210	6.1317104E-7
			6)	_ab	0	0	0.0
				1)	_abb	319	115794	3.3810252E-4
				2)	_abi	3898	6695	1.9548477E-5
				3)	_abu	5011	3565	1.0409309E-5
				4)	_abo	5087	3385	9.883734E-6
				5)	_abr	8818	549	1.6030043E-6
			7)	_ad	0	0	0.0
				1)	_ad_	356	106479	3.10904E-4
				2)	_ado	1176	42132	1.2301964E-4
				3)	_ade	1178	42000	1.2263421E-4
				4)	_add	3280	9956	2.9070148E-5
				5)	_ada	4602	4542	1.3262013E-5
				6)	_adu	7064	1261	3.681946E-6
				7)	_adi	7316	1130	3.2994442E-6
			8)	_af	0	0	0.0
				1)	_aff	376	100807	2.9434255E-4
				2)	_afr	5163	3249	9.486632E-6
				3)	_afg	7726	925	2.7008725E-6
				4)	_aft	9963	331	9.664743E-7
			9)	_ai	0	0	0.0
				1)	_ai_	401	98396	2.8730274E-4
				2)	_aiu	1385	35061	1.02373284E-4
			10)	_as	0	0	0.0
				1)	_ass	406	97711	2.8530264E-4
				2)	_asp	1253	39119	1.14222086E-4
				3)	_asc	3668	7735	2.2585135E-5
				4)	_asi	4061	6166	1.800387E-5
				5)	_ast	4691	4311	1.2587526E-5
			11)	_av	0	0	0.0
				1)	_ave	745	62302	1.8191324E-4
				2)	_avv	1092	45243	1.3210332E-4
				3)	_avr	1552	30839	9.004563E-5
				4)	_ava	1994	22461	6.558302E-5
				5)	_avu	2820	13029	3.8042883E-5
				6)	_avi	7927	837	2.4439246E-6
			12)	_au	0	0	0.0
				1)	_aut	1042	47169	1.3772698E-4
				2)	_aum	2007	22253	6.497569E-5
				3)	_aus	2645	14332	4.1847463E-5
				4)	_aug	2851	12772	3.729248E-5
				5)	_aud	5501	2726	7.959544E-6
				6)	_aul	11094	204	5.956519E-7
			13)	_am	0	0	0.0
				1)	_amb	1102	44951	1.3125072E-4
				2)	_amm	2043	21697	6.335225E-5
				3)	_amp	2238	19195	5.6046752E-5
				4)	_ame	4053	6190	1.8073946E-5
				5)	_ami	4752	4115	1.2015233E-5
				6)	_ama	7525	1013	2.9578202E-6
				7)	_amo	9365	421	1.229262E-6
			14)	_ag	0	0	0.0
				1)	_agl	1322	36922	1.0780715E-4
				2)	_agr	1792	25873	7.554559E-5
				3)	_agg	1924	23654	6.906642E-5
				4)	_age	2986	11788	3.4419336E-5
				5)	_agi	3011	11646	3.4004715E-5
				6)	_ago	7305	1136	3.3169633E-6
			15)	_az	0	0	0.0
				1)	_azi	1621	29173	8.5181135E-5
				2)	_azz	9530	395	1.1533456E-6
				3)	_azo	10383	274	8.0004224E-7
			16)	_ar	0	0	0.0
				1)	_arm	2411	16844	4.918216E-5
				2)	_arr	2590	14938	4.36169E-5
				3)	_art	3061	11381	3.323095E-5
				4)	_arg	3104	11093	3.239003E-5
				5)	_are	3548	8374	2.4450925E-5
				6)	_ara	6058	2037	5.9477593E-6
				7)	_arc	6358	1757	5.1301977E-6
				8)	_arb	6860	1369	3.997291E-6
				9)	_ard	7548	1005	2.9344615E-6
				10)	_ari	8301	694	2.0263844E-6
				11)	_aro	10398	272	7.942025E-7
				12)	_ars	10856	226	6.598888E-7
			17)	_ae	0	0	0.0
				1)	_aer	2803	13180	3.8483784E-5
			18)	_ah	0	0	0.0
				1)	_ahi	10731	238	6.9492717E-7
		10)	_e	0	0	0.0
			1)	_eu	0	0	0.0
				1)	_eur	55	359445	0.0010495299
				2)	_euf	10122	309	9.022374E-7
			2)	_es	0	0	0.0
				1)	_ess	128	194910	5.691103E-4
